시점,시도별,지출목적별,데이터
2021.08,광주광역시,0 총지수,102.82
2021.08,대전광역시,0 총지수,102.7
2021.08,울산광역시,0 총지수,102.71
2021.08,세종특별자치시,0 총지수,103.11
2021.08,경기도,0 총지수,102.85
2021.08,강원특별자치도,0 총지수,103.08
2021.08,충청북도,0 총지수,102.88
2021.08,충청남도,0 총지수,102.96
2021.08,전라북도,0 총지수,102.9
2021.08,전라남도,0 총지수,102.76
2021.08,경상북도,0 총지수,103.01
2021.08,경상남도,0 총지수,102.74
2021.08,제주특별자치도,0 총지수,102.99
2021.09,전국,0 총지수,103.17
2021.09,서울특별시,0 총지수,102.67
2021.09,부산광역시,0 총지수,103.17
2021.09,대구광역시,0 총지수,103.43
2021.09,인천광역시,0 총지수,103.41
2021.09,광주광역시,0 총지수,103.15
2021.09,대전광역시,0 총지수,103.08
2021.09,울산광역시,0 총지수,103.26
2021.09,세종특별자치시,0 총지수,103.2
2021.09,경기도,0 총지수,103.21
2021.09,강원특별자치도,0 총지수,103.64
2021.09,충청북도,0 총지수,103.28
2021.09,충청남도,0 총지수,103.47
2021.09,전라북도,0 총지수,103.42
2021.09,전라남도,0 총지수,103.3
2021.09,경상북도,0 총지수,103.52
2021.09,경상남도,0 총지수,103.14
2021.09,제주특별자치도,0 총지수,103.51
2021.10,전국,0 총지수,103.35
2021.10,서울특별시,0 총지수,102.9
2021.10,부산광역시,0 총지수,103.22
2021.10,대구광역시,0 총지수,103.56
2021.10,인천광역시,0 총지수,103.56
2021.10,광주광역시,0 총지수,103.27
2021.10,대전광역시,0 총지수,103.23
2021.10,울산광역시,0 총지수,103.22
2021.10,세종특별자치시,0 총지수,103.55
2021.10,경기도,0 총지수,103.43
2021.10,강원특별자치도,0 총지수,103.85
2021.10,충청북도,0 총지수,103.5
2021.10,충청남도,0 총지수,103.81
2021.10,전라북도,0 총지수,103.46
2021.10,전라남도,0 총지수,103.64
2021.10,경상북도,0 총지수,103.75
2021.10,경상남도,0 총지수,103.27
2021.10,제주특별자치도,0 총지수,103.7
2021.11,전국,0 총지수,103.87
2021.11,서울특별시,0 총지수,103.2
2021.11,부산광역시,0 총지수,103.63
2021.11,대구광역시,0 총지수,104.11
2021.11,인천광역시,0 총지수,104.06
2021.11,광주광역시,0 총지수,103.95
2021.11,대전광역시,0 총지수,103.71
2021.11,울산광역시,0 총지수,103.86
2021.11,세종특별자치시,0 총지수,104.01
2021.11,경기도,0 총지수,103.97
2021.11,강원특별자치도,0 총지수,104.53
2021.11,충청북도,0 총지수,104.16
2021.11,충청남도,0 총지수,104.39
2021.11,전라북도,0 총지수,104.06
2021.11,전라남도,0 총지수,104.29
2021.11,경상북도,0 총지수,104.38
2021.11,경상남도,0 총지수,103.9
2021.11,제주특별자치도,0 총지수,104.41
2021.12,전국,0 총지수,104.04
2021.12,서울특별시,0 총지수,103.32
2021.12,부산광역시,0 총지수,103.87
2021.12,대구광역시,0 총지수,104.3
2021.12,인천광역시,0 총지수,104.38
2021.12,광주광역시,0 총지수,104.1
2021.12,대전광역시,0 총지수,103.97
2021.12,울산광역시,0 총지수,104.12
2021.12,세종특별자치시,0 총지수,104.16
2021.12,경기도,0 총지수,104.16
2021.12,강원특별자치도,0 총지수,104.69
2021.12,충청북도,0 총지수,104.31
2021.12,충청남도,0 총지수,104.45
2021.12,전라북도,0 총지수,104.08
2021.12,전라남도,0 총지수,104.34
2021.12,경상북도,0 총지수,104.65
2021.12,경상남도,0 총지수,104.15
2021.12,제주특별자치도,0 총지수,104.43
2022.01,전국,0 총지수,104.85
2022.01,서울특별시,0 총지수,104.09
2022.01,부산광역시,0 총지수,104.72
2022.01,대구광역시,0 총지수,105.1
