지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm)
95,철원,2023-07,25.4,30.1,21.7,383.4
95,철원,2023-08,25.1,29.8,21.4,241.6
95,철원,2023-09,21.3,26.8,16.8,102.9
95,철원,2023-10,12.4,19.7,6.2,30.5
95,철원,2023-11,4.3,9.8,-.7,104.9
95,철원,2023-12,-1.9,3.3,-7.2,69.4
95,철원,2024-01,-3.3,2.1,-8.5,7.2
95,철원,2024-02,1.2,6.7,-3.6,48.2
95,철원,2024-03,4.4,11,-2.2,42.4
95,철원,2024-04,14.2,21.7,7.3,17.9
95,철원,2024-05,16.6,23,10.5,156.5
95,철원,2024-06,22.7,29.2,16.2,98.1
95,철원,2024-07,25.3,29.1,22.3,759.5
95,철원,2024-08,27.2,32.5,23.2,232.9
95,철원,2024-09,22.6,27.9,18.3,179.2
95,철원,2024-10,13.5,19.9,8.3,66.7
95,철원,2024-11,6.5,13.8,.3,29.8
95,철원,2024-12,-3.1,3.2,-9.4,7.3
98,동두천,2020-01,0,5.9,-4.5,71.4
98,동두천,2020-02,1.2,7.6,-3.7,54.8
98,동두천,2020-03,6.7,14.4,0,19.7
98,동두천,2020-04,10.2,17.9,3.3,19.5
98,동두천,2020-05,17.1,23.7,11.8,134.3
98,동두천,2020-06,22.8,28.8,17.9,128.6
98,동두천,2020-07,23,27.5,19.4,248
98,동두천,2020-08,25.3,28.8,22.8,757.8
98,동두천,2020-09,19.5,25,15.4,130.4
98,동두천,2020-10,12,19.5,5.9,2.9
98,동두천,2020-11,6.3,12.8,.8,73.9
98,동두천,2020-12,-2.2,3.7,-7.2,.6
98,동두천,2021-01,-4.2,2.1,-9.9,15.4
98,동두천,2021-02,1.3,8.4,-5,8.5
98,동두천,2021-03,7.7,15.5,1.6,107.8
98,동두천,2021-04,13,20.3,6.7,99.3
98,동두천,2021-05,15.8,22.2,10.2,228.8
98,동두천,2021-06,21.3,27,16.8,103.3
98,동두천,2021-07,26.4,31.7,22.1,100.2
98,동두천,2021-08,24.3,29.2,20.6,140.6
98,동두천,2021-09,20.8,26.3,16.2,100.6
98,동두천,2021-10,13.7,19.9,8.5,71.2
98,동두천,2021-11,6.4,13.3,1,51.6
98,동두천,2021-12,-1.1,5,-6.1,8.3
98,동두천,2022-01,-3.9,2.6,-9.7,6.5
98,동두천,2022-02,-2.6,4.4,-8.5,7.1
98,동두천,2022-03,6.4,13.6,.6,91
98,동두천,2022-04,13.6,21.7,6.9,17.8
98,동두천,2022-05,17.4,25.2,10.4,16.4
98,동두천,2022-06,21.5,26.6,17.4,522.8
98,동두천,2022-07,25.8,30.4,22.2,302.7
98,동두천,2022-08,24.2,28.2,21.2,506.8
98,동두천,2022-09,20,26.3,15.1,204.5
98,동두천,2022-10,12.3,19.2,7.1,146.3
98,동두천,2022-11,8,15.2,2.3,88.7
98,동두천,2022-12,-4.9,1,-9.8,12
98,동두천,2023-01,-3.7,2.2,-9.1,49.8
98,동두천,2023-02,.6,7.4,-4.7,.5
98,동두천,2023-03,8.3,16.9,1.1,14.4
98,동두천,2023-04,12.7,19.4,6.6,94.6
98,동두천,2023-05,18,25,11.6,158.7
98,동두천,2023-06,22,27.4,17.3,218.4
98,동두천,2023-07,25.6,29.8,22.2,355.6
98,동두천,2023-08,25.6,30.1,22.1,255.9
98,동두천,2023-09,21.8,27,17.7,56.3
98,동두천,2023-10,13.6,20.5,8.2,38.5
98,동두천,2023-11,5.4,11.2,.5,93.4
98,동두천,2023-12,-.5,4.8,-5.1,76.6
98,동두천,2024-01,-2.1,3.1,-6.6,13.2
98,동두천,2024-02,2.4,8,-2,58.2
98,동두천,2024-03,5.7,12.6,-.1,38
98,동두천,2024-04,15.2,23.2,9,22.2
98,동두천,2024-05,17.2,23.5,11.4,140.6
98,동두천,2024-06,23,29.8,16.9,96.7
98,동두천,2024-07,25.6,29.1,22.8,378.2
98,동두천,2024-08,27.6,32.5,24.2,146.5
98,동두천,2024-09,23.4,28.6,19.4,178
98,동두천,2024-10,14.4,20.7,9.5,57.2
98,동두천,2024-11,7.9,14.9,2.5,34.2
98,동두천,2024-12,-1.4,4.7,-6.5,7.6
99,파주,2020-01,-.6,5.3,-5.3,82.3
99,파주,2020-02,.6,6.7,-4.7,54.3
99,파주,2020-03,5.7,12.9,-1.6,12.1
99,파주,2020-04,9.3,16.9,1.4,17.5
99,파주,2020-05,16.4,22.9,11.4,131.8
99,파주,2020-06,22,27.8,17.3,131.4
99,파주,2020-07,22.7,27.2,19.1,231.2
99,파주,2020-08,25.2,28.9,22.7,682.6
99,파주,2020-09,19.3,25,15,195.7
99,파주,2020-10,11.2,19.2,4.3,3.5
99,파주,2020-11,5.4,12.1,-.7,64.2
99,파주,2020-12,-3.3,3.1,-9.1,5.7
99,파주,2021-01,-5.1,1.5,-11.4,12.9
99,파주,2021-02,.5,7.2,-6.1,10
99,파주,2021-03,6.7,14,.4,112.4
99,파주,2021-04,12.2,19,5.8,106.4
99,파주,2021-05,15.5,21.9,10.1,243
99,파주,2021-06,21.1,26.7,16.7,50.4
99,파주,2021-07,26.1,31.4,22,93.6
99,파주,2021-08,24.1,29.3,20.1,183.3
99,파주,2021-09,20.6,26.5,16,93.5
99,파주,2021-10,13,19.8,7.6,79.4
99,파주,2021-11,5.5,12.7,-.5,47.2
99,파주,2021-12,-1.9,4.4,-7.6,5.8
99,파주,2022-01,-5.2,1.9,-12.3,7.2
99,파주,2022-02,-3.6,3.5,-10.8,2.6
99,파주,2022-03,5.3,12.2,-1.1,103.3
99,파주,2022-04,12.4,19.8,5.4,19.5
99,파주,2022-05,16.4,24,9.1,12.7
99,파주,2022-06,21.2,26.1,17.2,509.9
99,파주,2022-07,25.4,30.1,21.9,290.2
99,파주,2022-08,24.1,28.3,20.8,353.5
99,파주,2022-09,19.5,26,14.4,152.4
99,파주,2022-10,11.6,18.8,6,181.6
99,파주,2022-11,7.1,14.4,.9,89.2
99,파주,2022-12,-5.8,.4,-11.2,8.4
99,파주,2023-01,-4.5,1.6,-10.7,42.9
99,파주,2023-02,-.4,6.2,-6.4,1
99,파주,2023-03,6.8,14.8,-.8,14.7
99,파주,2023-04,11.8,18.3,5.2,102.3
99,파주,2023-05,17.2,24.2,10.8,139.2
99,파주,2023-06,21.5,26.9,17.1,212
99,파주,2023-07,25.2,29.5,21.9,441
99,파주,2023-08,25.2,29.7,21.8,247.8
99,파주,2023-09,21.6,27.2,17.5,43.1
99,파주,2023-10,12.9,20.5,6.9,46.5
99,파주,2023-11,4.7,10.4,-.3,75.5
99,파주,2023-12,-1.1,4.1,-6.2,72
99,파주,2024-01,-2.9,2.4,-8,12.1
99,파주,2024-02,1.6,7,-3.3,71.9
99,파주,2024-03,4.7,11.7,-1.8,20.4
99,파주,2024-04,14,21.8,7.4,23.3
99,파주,2024-05,16.3,22.9,10.4,130.7
99,파주,2024-06,22.2,29.2,16.1,56.7
99,파주,2024-07,25.3,29.1,22.5,871
99,파주,2024-08,27.4,32.6,23.7,92.1
99,파주,2024-09,23,28.5,19,114.2
99,파주,2024-10,13.8,20.4,8.8,52.4
99,파주,2024-11,7,14.2,1.2,22.3
99,파주,2024-12,-2.7,3.8,-8.8,5.5
100,대관령,2020-01,-3.2,1.6,-7.5,86.3
100,대관령,2020-02,-2.7,2.5,-8.5,45.5
100,대관령,2020-03,2.1,8.4,-4.2,39.1
100,대관령,2020-04,4.8,11.1,-1.6,64.2
100,대관령,2020-05,12.8,18.6,7.3,104.6
100,대관령,2020-06,18.7,24.3,13.4,157.5
100,대관령,2020-07,17.9,22.3,13.9,382.3
100,대관령,2020-08,22.2,25.8,19.5,296.7
100,대관령,2020-09,14.7,19.1,10.8,551
100,대관령,2020-10,7.9,14.6,2,1.8
100,대관령,2020-11,3.4,8.9,-2.2,22.6
