업체명,모델명,연료,변속형식,차량형식,자동차 종류,표시연비,도심주행연비,고속도로연비,CO2배출량(g/km),1회충전주행거리(km),배기량,등급,출시연도,예상 연간유류비
랜드로버,레인지로버 벨라 P250,휘발유,자동,내연기관,승용차,8.6,8,9.5,197,,1997,5등급,2021,2872169
기아,K3 1.6 T-GDI 5DR 7DCT PE (SUMMER TIRE),휘발유,자동,내연기관,승용차,11.9,10.7,13.6,141,,1591,3등급,2021,2075685
기아,K3 1.6 가솔린 CVT PE (16인치 타이어),휘발유,CVT,내연기관,승용차,14.4,12.8,16.8,114,,1598,2등급,2021,1715323
기아,K3 1.6 T-GDI 5DR 7DCT PE (ALL SEASON TIRE),휘발유,자동,내연기관,승용차,12.1,10.8,14,139,,1591,3등급,2021,2041376
벤츠,Mercedes-Benz S400 d 4MATIC	,경유,자동,내연기관,승용차,11.4,9.9,14,170,,2925,4등급,2021,1977224
MINI,MINI Cooper Convertible,휘발유,자동,내연기관,승용차,12.1,11.1,13.6,139,,1499,3등급,2021,2041376
벤츠,Mercedes-Benz G400 d	,경유,자동,내연기관,승용차,8.4,8.2,8.7,233,,2925,5등급,2021,2683375
벤츠,Mercedes-Benz A220	,휘발유,자동,내연기관,승용차,11.5,10.2,13.7,151,,1991,4등급,2021,2147883
MINI,MINI John Cooper Works Convertible,휘발유,자동,내연기관,승용차,11.3,10,13.5,149,,1998,4등급,2021,2185898
BMW,BMW M135i xDrive,휘발유,자동,내연기관,승용차,10,8.9,11.8,170,,1998,4등급,2021,2470065
(주)루트17,다니고VAN,전기,없음,전기,화물차,3.6,3.9,3.4,,144,,4등급,2021,1599625
MINI,MINI Cooper S,휘발유,자동,내연기관,승용차,12.3,10.8,14.9,136,,1998,3등급,2021,2008183
MINI,MINI Cooper,휘발유,자동,내연기관,승용차,13.4,12.2,15.3,124,,1499,3등급,2021,1843332
PSA Automobiles,Peugeot 508SW 1.5 BlueHDi_(19inch tire),경유,자동,내연기관,승용차,15.6,14.3,17.7,120,,1499,2등급,2021,1444894
PSA Automobiles,Peugeot 508SW 1.5 BlueHDi_(18inch tire),경유,자동,내연기관,승용차,17.2,15.4,20,108,,1499,1등급,2021,1310485
PSA Automobiles,Peugeot 5008 1.5 BlueHDi,경유,자동,내연기관,승용차,14.9,14.6,15.3,126,,1499,2등급,2021,1512775
기아,K8 3.5 GDI AWD 19인치,휘발유,자동,내연기관,승용차,9.3,7.9,12,183,,3470,5등급,2021,2655984
기아,K8 3.5 GDI AWD 18인치 (빌트인캠),휘발유,자동,내연기관,승용차,9.5,8,12.2,180,,3470,4등급,2021,2600068
기아,K8 3.5 GDI AWD 18인치 ,휘발유,자동,내연기관,승용차,9.7,8.2,12.5,175,,3470,4등급,2021,2546459
BMW,BMW 120i,휘발유,자동,내연기관,승용차,11,9.7,13,154,,1998,4등급,2021,2245514
MINI,MINI Cooper S five-door,휘발유,자동,내연기관,승용차,12.6,11,15.3,133,,1998,3등급,2021,1960369
(주)디피코,포트로 픽업(HMT-250P),전기,없음,전기,화물차,4.2,5.1,3.4,,69,,초소형,2021,1371107
토요타,렉서스 LC500 Convertible,휘발유,자동,내연기관,승용차,7.5,6.1,10.5,230,,4969,5등급,2021,3293420
MINI,MINI John Cooper Works,휘발유,자동,내연기관,승용차,11.4,10.2,13.5,148,,1998,4등급,2021,2166724
BMW,BMW 220i Gran Coupe,휘발유,자동,내연기관,승용차,11.2,9.8,13.5,151,,1998,4등급,2021,2205415
MINI,MINI Cooper five-door,휘발유,자동,내연기관,승용차,12.4,11.2,14.3,135,,1499,3등급,2021,1991988
현대,스타리아 2.2디젤 2WD 11인 17인치,경유,자동,내연기관,승합차,10.8,9.8,12.5,179,,2199,4등급,2021,2087069
현대,스타리아 2.2디젤 2WD 11인 18인치,경유,자동,내연기관,승합차,10.8,9.7,12.4,180,,2199,4등급,2021,2087069
현대,스타리아 2.2디젤 2WD 9인 17인치 (빌트인캠),경유,자동,내연기관,승용차,11,10.1,12.5,175,,2199,4등급,2021,2049123
현대,스타리아 2.2디젤 2WD 9인 18인치,경유,자동,내연기관,승용차,11,10.1,12.5,175,,2199,4등급,2021,2049123
현대,스타리아 라운지 2.2디젤 2WD 7인 18인치,경유,자동,내연기관,승용차,10.8,9.8,12.2,179,,2199,4등급,2021,2087069
현대,스타리아 라운지 2.2디젤 2WD 7인 18인치 (빌트인캠),경유,자동,내연기관,승용차,10.8,9.8,12.2,180,,2199,4등급,2021,2087069
현대,스타리아 2.2디젤 4WD 11인 17인치,경유,자동,내연기관,승합차,10.3,9.4,11.6,190,,2199,4등급,2021,2188383
