년도,월,지역,차종,용도,전기차 등록수,전기차 순증가량,연료소비효율,1회충전주행거리,배터리충전용량,완속충전기_신규설치,급속충전기_신규설치,전체충전기_신규설치,완속충전기_누적대수,급속충전기_누적대수,전체충전기_누적대수,차량전체_등록수,차량전체_순증가량,수소차_등록수,수소차_순증가량,하이브리드차_등록수,하이브리드차_순증,휘발유차_등록수,휘발유차_순증가량,경유차_등록수,경유차_순증가량,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm),미세먼지2.5 수치,미세먼지10 수치,cpi,실업률,평균기준금리,경상소득,보조금,민간공고대수,출고대수,출고잔여대수,휘발유가격,디젤가격
2020,1,부산,화물,비사업용,1,1,2.725,149.25,202.5,448.0,48.0,496.0,1294.0,110.0,1404.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,6.4,10.9,3.1,127.7,21.0,32.0,100.06,4.1,1.25,5444,2300.0,731.0,759.0,0.0,1545.59,1378.54
2020,1,부산,화물,사업용,0,-1,2.725,149.25,202.5,448.0,48.0,496.0,1294.0,110.0,1404.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,6.4,10.9,3.1,127.7,21.0,32.0,100.06,4.1,1.25,5444,2300.0,731.0,759.0,0.0,1545.59,1378.54
2020,1,서울,승용,계,14410,178,4.741666666666666,399.3611111111111,227.88888888888889,1606.0,260.0,1866.0,2622.0,455.0,3077.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,1.6,5.9,-1.7,60.5,29.0,42.0,99.8,4.5,1.25,6616,1270.0,5132.0,5551.0,0.0,1645.2,1483.56
2020,1,서울,승용,비사업용,8044,127,4.741666666666666,399.3611111111111,227.88888888888889,1606.0,260.0,1866.0,2622.0,455.0,3077.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,1.6,5.9,-1.7,60.5,29.0,42.0,99.8,4.5,1.25,6616,1270.0,5132.0,5551.0,0.0,1645.2,1483.56
2020,1,서울,승용,사업용,6366,51,4.741666666666666,399.3611111111111,227.88888888888889,1606.0,260.0,1866.0,2622.0,455.0,3077.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,1.6,5.9,-1.7,60.5,29.0,42.0,99.8,4.5,1.25,6616,1270.0,5132.0,5551.0,0.0,1645.2,1483.56
2020,1,서울,화물,계,808,216,2.725,149.25,202.5,1606.0,260.0,1866.0,2622.0,455.0,3077.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,1.6,5.9,-1.7,60.5,29.0,42.0,99.8,4.5,1.25,6616,2700.0,1271.0,1288.0,0.0,1645.2,1483.56
2020,1,서울,화물,비사업용,762,177,2.725,149.25,202.5,1606.0,260.0,1866.0,2622.0,455.0,3077.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,1.6,5.9,-1.7,60.5,29.0,42.0,99.8,4.5,1.25,6616,2700.0,1271.0,1288.0,0.0,1645.2,1483.56
2020,1,서울,화물,사업용,46,39,2.725,149.25,202.5,1606.0,260.0,1866.0,2622.0,455.0,3077.0,14397108,26764,0,0,0,0,54280,4244,13451860,19980,1.6,5.9,-1.7,60.5,29.0,42.0,99.8,4.5,1.25,6616,2700.0,1271.0,1288.0,0.0,1645.2,1483.56
2020,1,세종,승용,계,903,8,4.741666666666666,399.3611111111111,227.88888888888889,101.0,15.0,116.0,193.0,40.0,233.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,2.1,7.1,-1.7,81.3,31.0,47.0,100.2,3.0,1.25,7457,1220.0,100.0,100.0,0.0,1569.23,1402.9
2020,1,세종,승용,비사업용,901,8,4.741666666666666,399.3611111111111,227.88888888888889,101.0,15.0,116.0,193.0,40.0,233.0,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696,2.1,7.1,-1.7,81.3,31.0,47.0,100.2,3.0,1.25,7457,1220.0,100.0,100.0,0.0,1569.23,1402.9
