년도,월,지역,완속충전기_신규설치,급속충전기_신규설치,전체충전기_신규설치,완속충전기_누적대수,급속충전기_누적대수,전체충전기_누적대수
2022,2,강원,2828.0,391.0,3219.0,4075.0,897.0,4972.0
2022,3,강원,2828.0,391.0,3219.0,4075.0,897.0,4972.0
2022,4,강원,2828.0,391.0,3219.0,4075.0,897.0,4972.0
2022,5,강원,2828.0,391.0,3219.0,4075.0,897.0,4972.0
2022,6,강원,2828.0,391.0,3219.0,4075.0,897.0,4972.0
2022,7,강원,2828.0,391.0,3219.0,4075.0,897.0,4972.0
2022,8,강원,2828.0,391.0,3219.0,4075.0,897.0,4972.0
2022,9,강원,2828.0,391.0,3219.0,4075.0,897.0,4972.0
2022,10,강원,2828.0,391.0,3219.0,4075.0,897.0,4972.0
2022,11,강원,2828.0,391.0,3219.0,4075.0,897.0,4972.0
2022,12,강원,2828.0,391.0,3219.0,4075.0,897.0,4972.0
2023,1,강원,3521.0,741.0,4262.0,7596.0,1638.0,9234.0
2023,2,강원,3521.0,741.0,4262.0,7596.0,1638.0,9234.0
2023,3,강원,3521.0,741.0,4262.0,7596.0,1638.0,9234.0
2023,4,강원,3521.0,741.0,4262.0,7596.0,1638.0,9234.0
2023,5,강원,3521.0,741.0,4262.0,7596.0,1638.0,9234.0
2023,6,강원,3521.0,741.0,4262.0,7596.0,1638.0,9234.0
2023,7,강원,3521.0,741.0,4262.0,7596.0,1638.0,9234.0
2023,8,강원,3521.0,741.0,4262.0,7596.0,1638.0,9234.0
2023,9,강원,3521.0,741.0,4262.0,7596.0,1638.0,9234.0
2023,10,강원,3521.0,741.0,4262.0,7596.0,1638.0,9234.0
2023,11,강원,3521.0,741.0,4262.0,7596.0,1638.0,9234.0
2023,12,강원,3521.0,741.0,4262.0,7596.0,1638.0,9234.0
2024,1,강원,3267.0,453.0,3720.0,10863.0,2091.0,12954.0
2024,2,강원,3267.0,453.0,3720.0,10863.0,2091.0,12954.0
2024,3,강원,3267.0,453.0,3720.0,10863.0,2091.0,12954.0
2024,4,강원,3267.0,453.0,3720.0,10863.0,2091.0,12954.0
2024,5,강원,3267.0,453.0,3720.0,10863.0,2091.0,12954.0
2024,6,강원,3267.0,453.0,3720.0,10863.0,2091.0,12954.0
2024,7,강원,3267.0,453.0,3720.0,10863.0,2091.0,12954.0
2024,8,강원,3267.0,453.0,3720.0,10863.0,2091.0,12954.0
2024,9,강원,3267.0,453.0,3720.0,10863.0,2091.0,12954.0
2024,10,강원,3267.0,453.0,3720.0,10863.0,2091.0,12954.0
2024,11,강원,3267.0,453.0,3720.0,10863.0,2091.0,12954.0
2024,12,강원,3267.0,453.0,3720.0,10863.0,2091.0,12954.0
2019,1,경기,2287.0,568.0,2855.0,2287.0,568.0,2855.0
2019,2,경기,2287.0,568.0,2855.0,2287.0,568.0,2855.0
2019,3,경기,2287.0,568.0,2855.0,2287.0,568.0,2855.0
2019,4,경기,2287.0,568.0,2855.0,2287.0,568.0,2855.0
2019,5,경기,2287.0,568.0,2855.0,2287.0,568.0,2855.0
2019,6,경기,2287.0,568.0,2855.0,2287.0,568.0,2855.0
2019,7,경기,2287.0,568.0,2855.0,2287.0,568.0,2855.0
2019,8,경기,2287.0,568.0,2855.0,2287.0,568.0,2855.0
2019,9,경기,2287.0,568.0,2855.0,2287.0,568.0,2855.0
2019,10,경기,2287.0,568.0,2855.0,2287.0,568.0,2855.0
2019,11,경기,2287.0,568.0,2855.0,2287.0,568.0,2855.0
2019,12,경기,2287.0,568.0,2855.0,2287.0,568.0,2855.0
2020,1,경기,2393.0,372.0,2765.0,4680.0,940.0,5620.0
2020,2,경기,2393.0,372.0,2765.0,4680.0,940.0,5620.0
2020,3,경기,2393.0,372.0,2765.0,4680.0,940.0,5620.0
2020,4,경기,2393.0,372.0,2765.0,4680.0,940.0,5620.0
2020,5,경기,2393.0,372.0,2765.0,4680.0,940.0,5620.0
2020,6,경기,2393.0,372.0,2765.0,4680.0,940.0,5620.0
2020,7,경기,2393.0,372.0,2765.0,4680.0,940.0,5620.0
2020,8,경기,2393.0,372.0,2765.0,4680.0,940.0,5620.0
2020,9,경기,2393.0,372.0,2765.0,4680.0,940.0,5620.0
2020,10,경기,2393.0,372.0,2765.0,4680.0,940.0,5620.0
2020,11,경기,2393.0,372.0,2765.0,4680.0,940.0,5620.0
2020,12,경기,2393.0,372.0,2765.0,4680.0,940.0,5620.0
2021,1,경기,6154.0,692.0,6846.0,10834.0,1632.0,12466.0
2021,2,경기,6154.0,692.0,6846.0,10834.0,1632.0,12466.0
2021,3,경기,6154.0,692.0,6846.0,10834.0,1632.0,12466.0
2021,4,경기,6154.0,692.0,6846.0,10834.0,1632.0,12466.0
2021,5,경기,6154.0,692.0,6846.0,10834.0,1632.0,12466.0
2021,6,경기,6154.0,692.0,6846.0,10834.0,1632.0,12466.0
2021,7,경기,6154.0,692.0,6846.0,10834.0,1632.0,12466.0
2021,8,경기,6154.0,692.0,6846.0,10834.0,1632.0,12466.0
2021,9,경기,6154.0,692.0,6846.0,10834.0,1632.0,12466.0
2021,10,경기,6154.0,692.0,6846.0,10834.0,1632.0,12466.0
2021,11,경기,6154.0,692.0,6846.0,10834.0,1632.0,12466.0
2021,12,경기,6154.0,692.0,6846.0,10834.0,1632.0,12466.0
2022,1,경기,25509.0,1457.0,26966.0,36343.0,3089.0,39432.0
2022,2,경기,25509.0,1457.0,26966.0,36343.0,3089.0,39432.0
2022,3,경기,25509.0,1457.0,26966.0,36343.0,3089.0,39432.0
2022,4,경기,25509.0,1457.0,26966.0,36343.0,3089.0,39432.0
2022,5,경기,25509.0,1457.0,26966.0,36343.0,3089.0,39432.0
2022,6,경기,25509.0,1457.0,26966.0,36343.0,3089.0,39432.0
2022,7,경기,25509.0,1457.0,26966.0,36343.0,3089.0,39432.0
2022,8,경기,25509.0,1457.0,26966.0,36343.0,3089.0,39432.0
2022,9,경기,25509.0,1457.0,26966.0,36343.0,3089.0,39432.0
2022,10,경기,25509.0,1457.0,26966.0,36343.0,3089.0,39432.0
2022,11,경기,25509.0,1457.0,26966.0,36343.0,3089.0,39432.0
2022,12,경기,25509.0,1457.0,26966.0,36343.0,3089.0,39432.0
2023,1,경기,29567.0,3995.0,33562.0,65910.0,7084.0,72994.0
2023,2,경기,29567.0,3995.0,33562.0,65910.0,7084.0,72994.0
2023,3,경기,29567.0,3995.0,33562.0,65910.0,7084.0,72994.0
2023,4,경기,29567.0,3995.0,33562.0,65910.0,7084.0,72994.0
2023,5,경기,29567.0,3995.0,33562.0,65910.0,7084.0,72994.0
2023,6,경기,29567.0,3995.0,33562.0,65910.0,7084.0,72994.0
2023,7,경기,29567.0,3995.0,33562.0,65910.0,7084.0,72994.0
2023,8,경기,29567.0,3995.0,33562.0,65910.0,7084.0,72994.0
2023,9,경기,29567.0,3995.0,33562.0,65910.0,7084.0,72994.0
2023,10,경기,29567.0,3995.0,33562.0,65910.0,7084.0,72994.0
2023,11,경기,29567.0,3995.0,33562.0,65910.0,7084.0,72994.0
2023,12,경기,29567.0,3995.0,33562.0,65910.0,7084.0,72994.0
2024,1,경기,33317.0,3032.0,36349.0,99227.0,10116.0,109343.0
2024,2,경기,33317.0,3032.0,36349.0,99227.0,10116.0,109343.0
2024,3,경기,33317.0,3032.0,36349.0,99227.0,10116.0,109343.0
2024,4,경기,33317.0,3032.0,36349.0,99227.0,10116.0,109343.0
2024,5,경기,33317.0,3032.0,36349.0,99227.0,10116.0,109343.0
2024,6,경기,33317.0,3032.0,36349.0,99227.0,10116.0,109343.0
2024,7,경기,33317.0,3032.0,36349.0,99227.0,10116.0,109343.0
2024,8,경기,33317.0,3032.0,36349.0,99227.0,10116.0,109343.0
2024,9,경기,33317.0,3032.0,36349.0,99227.0,10116.0,109343.0
2024,10,경기,33317.0,3032.0,36349.0,99227.0,10116.0,109343.0
2024,11,경기,33317.0,3032.0,36349.0,99227.0,10116.0,109343.0
2024,12,경기,33317.0,3032.0,36349.0,99227.0,10116.0,109343.0
2019,1,경남,781.0,164.0,945.0,781.0,164.0,945.0
2019,2,경남,781.0,164.0,945.0,781.0,164.0,945.0
2019,3,경남,781.0,164.0,945.0,781.0,164.0,945.0
2019,4,경남,781.0,164.0,945.0,781.0,164.0,945.0
2019,5,경남,781.0,164.0,945.0,781.0,164.0,945.0
2019,6,경남,781.0,164.0,945.0,781.0,164.0,945.0
2019,7,경남,781.0,164.0,945.0,781.0,164.0,945.0
2019,8,경남,781.0,164.0,945.0,781.0,164.0,945.0
2019,9,경남,781.0,164.0,945.0,781.0,164.0,945.0
2019,10,경남,781.0,164.0,945.0,781.0,164.0,945.0
2019,11,경남,781.0,164.0,945.0,781.0,164.0,945.0
2019,12,경남,781.0,164.0,945.0,781.0,164.0,945.0
2020,1,경남,738.0,162.0,900.0,1519.0,326.0,1845.0
2020,2,경남,738.0,162.0,900.0,1519.0,326.0,1845.0
2020,3,경남,738.0,162.0,900.0,1519.0,326.0,1845.0
2020,4,경남,738.0,162.0,900.0,1519.0,326.0,1845.0
2020,5,경남,738.0,162.0,900.0,1519.0,326.0,1845.0
2020,6,경남,738.0,162.0,900.0,1519.0,326.0,1845.0
2020,7,경남,738.0,162.0,900.0,1519.0,326.0,1845.0
2020,8,경남,738.0,162.0,900.0,1519.0,326.0,1845.0
2020,9,경남,738.0,162.0,900.0,1519.0,326.0,1845.0
2020,10,경남,738.0,162.0,900.0,1519.0,326.0,1845.0
2020,11,경남,738.0,162.0,900.0,1519.0,326.0,1845.0
2020,12,경남,738.0,162.0,900.0,1519.0,326.0,1845.0
2021,1,경남,1022.0,461.0,1483.0,2541.0,787.0,3328.0
2021,2,경남,1022.0,461.0,1483.0,2541.0,787.0,3328.0
2021,3,경남,1022.0,461.0,1483.0,2541.0,787.0,3328.0
2021,4,경남,1022.0,461.0,1483.0,2541.0,787.0,3328.0
2021,5,경남,1022.0,461.0,1483.0,2541.0,787.0,3328.0
2021,6,경남,1022.0,461.0,1483.0,2541.0,787.0,3328.0
2021,7,경남,1022.0,461.0,1483.0,2541.0,787.0,3328.0
2021,8,경남,1022.0,461.0,1483.0,2541.0,787.0,3328.0
2021,9,경남,1022.0,461.0,1483.0,2541.0,787.0,3328.0
2021,10,경남,1022.0,461.0,1483.0,2541.0,787.0,3328.0
2021,11,경남,1022.0,461.0,1483.0,2541.0,787.0,3328.0
2021,12,경남,1022.0,461.0,1483.0,2541.0,787.0,3328.0
2022,1,경남,4876.0,364.0,5240.0,7417.0,1151.0,8568.0
2022,2,경남,4876.0,364.0,5240.0,7417.0,1151.0,8568.0
2022,3,경남,4876.0,364.0,5240.0,7417.0,1151.0,8568.0
2022,4,경남,4876.0,364.0,5240.0,7417.0,1151.0,8568.0
2022,5,경남,4876.0,364.0,5240.0,7417.0,1151.0,8568.0
2022,6,경남,4876.0,364.0,5240.0,7417.0,1151.0,8568.0
2022,7,경남,4876.0,364.0,5240.0,7417.0,1151.0,8568.0
2022,8,경남,4876.0,364.0,5240.0,7417.0,1151.0,8568.0
2022,9,경남,4876.0,364.0,5240.0,7417.0,1151.0,8568.0
2022,10,경남,4876.0,364.0,5240.0,7417.0,1151.0,8568.0
2022,11,경남,4876.0,364.0,5240.0,7417.0,1151.0,8568.0
2022,12,경남,4876.0,364.0,5240.0,7417.0,1151.0,8568.0
2023,1,경남,5488.0,993.0,6481.0,12905.0,2144.0,15049.0
2023,2,경남,5488.0,993.0,6481.0,12905.0,2144.0,15049.0
2023,3,경남,5488.0,993.0,6481.0,12905.0,2144.0,15049.0
2023,4,경남,5488.0,993.0,6481.0,12905.0,2144.0,15049.0
2023,5,경남,5488.0,993.0,6481.0,12905.0,2144.0,15049.0
2023,6,경남,5488.0,993.0,6481.0,12905.0,2144.0,15049.0
2023,7,경남,5488.0,993.0,6481.0,12905.0,2144.0,15049.0
2023,8,경남,5488.0,993.0,6481.0,12905.0,2144.0,15049.0
2023,9,경남,5488.0,993.0,6481.0,12905.0,2144.0,15049.0
