년도,월,지역,차종,용도,연료,등록수,순증가량
2020,01,인천,승용,비사업용,하이브리드,30016,346
2020,01,인천,승용,사업용,하이브리드,10811,325
2020,01,인천,승합,계,하이브리드,43,0
2020,01,인천,승합,비사업용,하이브리드,0,0
2020,01,인천,승합,사업용,하이브리드,43,0
2020,01,인천,특수,계,하이브리드,0,0
2020,01,인천,특수,비사업용,하이브리드,0,0
2020,01,인천,특수,사업용,하이브리드,0,0
2020,01,인천,화물,계,하이브리드,0,0
2020,01,인천,화물,비사업용,하이브리드,0,0
2020,01,인천,화물,사업용,하이브리드,0,0
2020,01,전국,소계,계,하이브리드,513469,7422
2020,01,전국,소계,비사업용,하이브리드,485373,6434
2020,01,전국,소계,사업용,하이브리드,28096,988
2020,01,전국,승용,계,하이브리드,513133,7422
2020,01,전국,승용,비사업용,하이브리드,485368,6434
2020,01,전국,승용,사업용,하이브리드,27765,988
2020,01,전국,승합,계,하이브리드,336,0
2020,01,전국,승합,비사업용,하이브리드,5,0
2020,01,전국,승합,사업용,하이브리드,331,0
2020,01,전국,특수,계,하이브리드,0,0
2020,01,전국,특수,비사업용,하이브리드,0,0
2020,01,전국,특수,사업용,하이브리드,0,0
2020,01,전국,화물,계,하이브리드,0,0
2020,01,전국,화물,비사업용,하이브리드,0,0
2020,01,전국,화물,사업용,하이브리드,0,0
2020,01,전남,소계,계,하이브리드,15445,295
2020,01,전남,소계,비사업용,하이브리드,14300,165
2020,01,전남,소계,사업용,하이브리드,1145,130
2020,01,전남,승용,계,하이브리드,15445,295
2020,01,전남,승용,비사업용,하이브리드,14300,165
2020,01,전남,승용,사업용,하이브리드,1145,130
2020,01,전남,승합,계,하이브리드,0,0
2020,01,전남,승합,비사업용,하이브리드,0,0
2020,01,전남,승합,사업용,하이브리드,0,0
2020,01,전남,특수,계,하이브리드,0,0
2020,01,전남,특수,비사업용,하이브리드,0,0
2020,01,전남,특수,사업용,하이브리드,0,0
2020,01,전남,화물,계,하이브리드,0,0
2020,01,전남,화물,비사업용,하이브리드,0,0
2020,01,전남,화물,사업용,하이브리드,0,0
2020,01,전북,소계,계,하이브리드,15016,157
2020,01,전북,소계,비사업용,하이브리드,14794,156
2020,01,전북,소계,사업용,하이브리드,222,1
2020,01,전북,승용,계,하이브리드,15007,157
2020,01,전북,승용,비사업용,하이브리드,14794,156
2020,01,전북,승용,사업용,하이브리드,213,1
2020,01,전북,승합,계,하이브리드,9,0
2020,01,전북,승합,비사업용,하이브리드,0,0
2020,01,전북,승합,사업용,하이브리드,9,0
2020,01,전북,특수,계,하이브리드,0,0
2020,01,전북,특수,비사업용,하이브리드,0,0
2020,01,전북,특수,사업용,하이브리드,0,0
2020,01,전북,화물,계,하이브리드,0,0
2020,01,전북,화물,비사업용,하이브리드,0,0
2020,01,전북,화물,사업용,하이브리드,0,0
2020,01,제주,소계,계,하이브리드,12674,417
2020,01,제주,소계,비사업용,하이브리드,6224,96
2020,01,제주,소계,사업용,하이브리드,6450,321
2020,01,제주,승용,계,하이브리드,12674,417
2020,01,제주,승용,비사업용,하이브리드,6224,96
2020,01,제주,승용,사업용,하이브리드,6450,321
2020,01,제주,승합,계,하이브리드,0,0
2020,01,제주,승합,비사업용,하이브리드,0,0
2020,01,제주,승합,사업용,하이브리드,0,0
2020,01,제주,특수,계,하이브리드,0,0
2020,01,제주,특수,비사업용,하이브리드,0,0
2020,01,제주,특수,사업용,하이브리드,0,0
2020,01,제주,화물,계,하이브리드,0,0
2020,01,제주,화물,비사업용,하이브리드,0,0
2020,01,제주,화물,사업용,하이브리드,0,0
2020,01,충남,소계,계,하이브리드,18164,256
2020,01,충남,소계,비사업용,하이브리드,18102,256
2020,01,충남,소계,사업용,하이브리드,62,0
2020,01,충남,승용,계,하이브리드,18164,256
2020,01,충남,승용,비사업용,하이브리드,18102,256
2020,01,충남,승용,사업용,하이브리드,62,0
2020,01,충남,승합,계,하이브리드,0,0
2020,01,충남,승합,비사업용,하이브리드,0,0
2020,01,충남,승합,사업용,하이브리드,0,0
2020,01,충남,특수,계,하이브리드,0,0
2020,01,충남,특수,비사업용,하이브리드,0,0
2020,01,충남,특수,사업용,하이브리드,0,0
2020,01,충남,화물,계,하이브리드,0,0
2020,01,충남,화물,비사업용,하이브리드,0,0
2020,01,충남,화물,사업용,하이브리드,0,0
2020,01,충북,소계,계,하이브리드,14272,260
2020,01,충북,소계,비사업용,하이브리드,14119,256
2020,01,충북,소계,사업용,하이브리드,153,4
2020,01,충북,승용,계,하이브리드,14269,260
2020,01,충북,승용,비사업용,하이브리드,14119,256
2020,01,충북,승용,사업용,하이브리드,150,4
2020,01,충북,승합,계,하이브리드,3,0
2020,01,충북,승합,비사업용,하이브리드,0,0
2020,01,충북,승합,사업용,하이브리드,3,0
2020,01,충북,특수,계,하이브리드,0,0
2020,01,충북,특수,비사업용,하이브리드,0,0
2020,01,충북,특수,사업용,하이브리드,0,0
2020,01,충북,화물,계,하이브리드,0,0
2020,01,충북,화물,비사업용,하이브리드,0,0
2020,01,충북,화물,사업용,하이브리드,0,0
2020,02,강원,소계,계,하이브리드,14246,101
2020,02,강원,소계,비사업용,하이브리드,14199,101
2020,02,강원,소계,사업용,하이브리드,47,0
2020,02,강원,승용,계,하이브리드,14246,101
2020,02,강원,승용,비사업용,하이브리드,14199,101
2020,02,강원,승용,사업용,하이브리드,47,0
2020,02,강원,승합,계,하이브리드,0,0
2020,02,강원,승합,비사업용,하이브리드,0,0
2020,02,강원,승합,사업용,하이브리드,0,0
2020,02,강원,특수,계,하이브리드,0,0
2020,02,강원,특수,비사업용,하이브리드,0,0
2020,02,강원,특수,사업용,하이브리드,0,0
2020,02,강원,화물,계,하이브리드,0,0
2020,02,강원,화물,비사업용,하이브리드,0,0
2020,02,강원,화물,사업용,하이브리드,0,0
2020,02,경기,소계,계,하이브리드,144308,1352
2020,02,경기,소계,비사업용,하이브리드,143746,1342
2020,02,경기,소계,사업용,하이브리드,562,10
2020,02,경기,승용,계,하이브리드,144228,1352
2020,02,경기,승용,비사업용,하이브리드,143745,1342
2020,02,경기,승용,사업용,하이브리드,483,10
2020,02,경기,승합,계,하이브리드,80,0
2020,02,경기,승합,비사업용,하이브리드,1,0
2020,02,경기,승합,사업용,하이브리드,79,0
2020,02,경기,특수,계,하이브리드,0,0
2020,02,경기,특수,비사업용,하이브리드,0,0
2020,02,경기,특수,사업용,하이브리드,0,0
2020,02,경기,화물,계,하이브리드,0,0
2020,02,경기,화물,비사업용,하이브리드,0,0
2020,02,경기,화물,사업용,하이브리드,0,0
2020,02,경남,소계,계,하이브리드,27710,287
2020,02,경남,소계,비사업용,하이브리드,26743,229
2020,02,경남,소계,사업용,하이브리드,967,58
2020,02,경남,승용,계,하이브리드,27709,287
2020,02,경남,승용,비사업용,하이브리드,26743,229
2020,02,경남,승용,사업용,하이브리드,966,58
2020,02,경남,승합,계,하이브리드,1,0
2020,02,경남,승합,비사업용,하이브리드,0,0
2020,02,경남,승합,사업용,하이브리드,1,0
2020,02,경남,특수,계,하이브리드,0,0
2020,02,경남,특수,비사업용,하이브리드,0,0
2020,02,경남,특수,사업용,하이브리드,0,0
2020,02,경남,화물,계,하이브리드,0,0
2020,02,경남,화물,비사업용,하이브리드,0,0
2020,02,경남,화물,사업용,하이브리드,0,0
2020,02,경북,소계,계,하이브리드,21946,160
2020,02,경북,소계,비사업용,하이브리드,21886,160
2020,02,경북,소계,사업용,하이브리드,60,0
2020,02,경북,승용,계,하이브리드,21915,160
2020,02,경북,승용,비사업용,하이브리드,21886,160
2020,02,경북,승용,사업용,하이브리드,29,0
2020,02,경북,승합,계,하이브리드,31,0
2020,02,경북,승합,비사업용,하이브리드,0,0
2020,02,경북,승합,사업용,하이브리드,31,0
2020,02,경북,특수,계,하이브리드,0,0
2020,02,경북,특수,비사업용,하이브리드,0,0
2020,02,경북,특수,사업용,하이브리드,0,0
2020,02,경북,화물,계,하이브리드,0,0
2020,02,경북,화물,비사업용,하이브리드,0,0
2020,02,경북,화물,사업용,하이브리드,0,0
2020,02,광주,소계,계,하이브리드,13627,108
2020,02,광주,소계,비사업용,하이브리드,13565,106
2020,02,광주,소계,사업용,하이브리드,62,2
2020,02,광주,승용,계,하이브리드,13600,108
2020,02,광주,승용,비사업용,하이브리드,13565,106
2020,02,광주,승용,사업용,하이브리드,35,2
2020,02,광주,승합,계,하이브리드,27,0
2020,02,광주,승합,비사업용,하이브리드,0,0
2020,02,광주,승합,사업용,하이브리드,27,0
2020,02,광주,특수,계,하이브리드,0,0
2020,02,광주,특수,비사업용,하이브리드,0,0
2020,02,광주,특수,사업용,하이브리드,0,0
2020,02,광주,화물,계,하이브리드,0,0
2020,02,광주,화물,비사업용,하이브리드,0,0
2020,02,광주,화물,사업용,하이브리드,0,0
2020,02,대구,소계,계,하이브리드,26656,217
2020,02,대구,소계,비사업용,하이브리드,26413,204
