년도,월,차종,차량전체_등록수,차량전체_순증가량,수소차_등록수,수소차_순증가량,하이브리드차_등록수,하이브리드차_순증,휘발유차_등록수,휘발유차_순증가량,경유차_등록수,경유차_순증가량
2023,07,승용,84925292,139168,130096,1556,5506532,120824,48859128,68320,22308608,-59200
2023,07,승합,2825388,-8548,1460,92,1192,-20,27208,408,2342160,-9080
2023,07,특수,539144,2916,0,0,4,0,760,16,484532,2276
2023,07,화물,14891520,19004,28,0,364,4,111664,680,13319756,-3948
2023,08,소계,103231484,50140,132852,1268,5617012,108920,49034036,35276,38353120,-101936
2023,08,승용,84990736,65444,131160,1064,5615464,108932,48893420,34292,22233528,-75080
2023,08,승합,2813868,-11520,1664,204,1176,-16,27640,432,2330264,-11896
2023,08,특수,541956,2812,0,0,4,0,780,20,486732,2200
2023,08,화물,14884924,-6596,28,0,368,4,112196,532,13302596,-17160
2023,09,소계,103382592,151108,134004,1152,5738476,121464,49118076,84040,38265480,-87640
2023,09,승용,85149340,158604,132084,924,5736932,121468,48976480,83060,22165084,-68444
2023,09,승합,2803828,-10040,1884,220,1168,-8,27976,336,2318696,-11568
2023,09,특수,544408,2452,0,0,4,0,796,16,488632,1900
2023,09,화물,14885016,92,36,8,372,4,112824,628,13293068,-9528
2023,10,소계,103480608,98016,135184,1180,5861516,123040,49162788,44712,38163052,-102428
2023,10,승용,85251176,101836,132980,896,5859972,123040,49020096,43616,22081492,-83592
2023,10,승합,2793312,-10516,2164,280,1168,0,28328,352,2307240,-11456
2023,10,특수,546712,2304,0,0,4,0,804,8,490436,1804
2023,10,화물,14889408,4392,40,4,372,0,113560,736,13283884,-9184
2023,11,소계,103671904,191296,136184,1000,6025344,163828,49229400,66612,38081404,-81648
2023,11,승용,85435484,184308,133800,820,6023800,163828,49084984,64888,22006780,-74712
2023,11,승합,2783592,-9720,2328,164,1168,0,28744,416,2295956,-11284
2023,11,특수,549164,2452,0,0,4,0,816,12,492368,1932
2023,11,화물,14903664,14256,56,16,372,0,114856,1296,13286300,2416
2023,12,소계,103796804,124900,137032,848,6168528,143184,49256744,27344,38000656,-80748
