년도,월,지역,연료,차종,용도,등록수,순증가량
2020,01,전남,총계,특수,비사업용,2330,20
2020,01,전남,총계,특수,사업용,4722,24
2020,01,전남,총계,화물,계,242730,449
2020,01,전남,총계,화물,비사업용,222701,417
2020,01,전남,총계,화물,사업용,20029,32
2020,01,전북,총계,소계,계,931231,2170
2020,01,전북,총계,소계,비사업용,890372,2174
2020,01,전북,총계,소계,사업용,40859,-4
2020,01,전북,총계,승용,계,707221,1436
2020,01,전북,총계,승용,비사업용,687954,1482
2020,01,전북,총계,승용,사업용,19267,-46
2020,01,전북,총계,승합,계,33219,1
2020,01,전북,총계,승합,비사업용,28985,11
2020,01,전북,총계,승합,사업용,4234,-10
2020,01,전북,총계,특수,계,3846,14
2020,01,전북,총계,특수,비사업용,1709,12
2020,01,전북,총계,특수,사업용,2137,2
2020,01,전북,총계,화물,계,186945,719
2020,01,전북,총계,화물,비사업용,171724,669
2020,01,전북,총계,화물,사업용,15221,50
2020,01,제주,총계,소계,계,599932,3717
2020,01,제주,총계,소계,비사업용,369461,-619
2020,01,제주,총계,소계,사업용,230471,4336
2020,01,제주,총계,승용,계,498859,3805
2020,01,제주,총계,승용,비사업용,280429,-471
2020,01,제주,총계,승용,사업용,218430,4276
2020,01,제주,총계,승합,계,19747,-4
2020,01,제주,총계,승합,비사업용,11995,-60
2020,01,제주,총계,승합,사업용,7752,56
2020,01,제주,총계,특수,계,1357,-1
2020,01,제주,총계,특수,비사업용,714,1
2020,01,제주,총계,특수,사업용,643,-2
2020,01,제주,총계,화물,계,79969,-83
2020,01,제주,총계,화물,비사업용,76323,-89
2020,01,제주,총계,화물,사업용,3646,6
2020,01,충남,총계,소계,계,1121349,3232
2020,01,충남,총계,소계,비사업용,1082205,3252
2020,01,충남,총계,소계,사업용,39144,-20
2020,01,충남,총계,승용,계,851238,2723
2020,01,충남,총계,승용,비사업용,837848,2763
2020,01,충남,총계,승용,사업용,13390,-40
2020,01,충남,총계,승합,계,42426,-72
2020,01,충남,총계,승합,비사업용,36980,-49
2020,01,충남,총계,승합,사업용,5446,-23
2020,01,충남,총계,특수,계,4873,17
2020,01,충남,총계,특수,비사업용,1967,9
2020,01,충남,총계,특수,사업용,2906,8
2020,01,충남,총계,화물,계,222812,564
2020,01,충남,총계,화물,비사업용,205410,529
2020,01,충남,총계,화물,사업용,17402,35
2020,01,충북,총계,소계,계,839191,1589
2020,01,충북,총계,소계,비사업용,803557,1488
2020,01,충북,총계,소계,사업용,35634,101
2020,01,충북,총계,승용,계,646903,1483
2020,01,충북,총계,승용,비사업용,631883,1425
2020,01,충북,총계,승용,사업용,15020,58
2020,01,충북,총계,승합,계,30235,-108
2020,01,충북,총계,승합,비사업용,26369,-114
2020,01,충북,총계,승합,사업용,3866,6
2020,01,충북,총계,특수,계,4106,25
2020,01,충북,총계,특수,비사업용,1415,19
2020,01,충북,총계,특수,사업용,2691,6
2020,01,충북,총계,화물,계,157947,189
2020,01,충북,총계,화물,비사업용,143890,158
2020,01,충북,총계,화물,사업용,14057,31
2020,02,강원,총계,소계,계,785806,998
2020,02,강원,총계,소계,비사업용,760498,1051
2020,02,강원,총계,소계,사업용,25308,-53
2020,02,강원,총계,승용,계,596868,788
2020,02,강원,총계,승용,비사업용,584913,818
2020,02,강원,총계,승용,사업용,11955,-30
2020,02,강원,총계,승합,계,29232,-26
2020,02,강원,총계,승합,비사업용,25954,-25
2020,02,강원,총계,승합,사업용,3278,-1
2020,02,강원,총계,특수,계,3229,18
2020,02,강원,총계,특수,비사업용,1588,22
2020,02,강원,총계,특수,사업용,1641,-4
2020,02,강원,총계,화물,계,156477,218
2020,02,강원,총계,화물,비사업용,148043,236
2020,02,강원,총계,화물,사업용,8434,-18
2020,02,경기,총계,소계,계,5780213,1150
2020,02,경기,총계,소계,비사업용,5550943,1270
2020,02,경기,총계,소계,사업용,229270,-120
2020,02,경기,총계,승용,계,4752598,3007
2020,02,경기,총계,승용,비사업용,4680833,3424
2020,02,경기,총계,승용,사업용,71765,-417
2020,02,경기,총계,승합,계,209014,-965
2020,02,경기,총계,승합,비사업용,176486,-1011
2020,02,경기,총계,승합,사업용,32528,46
2020,02,경기,총계,특수,계,18320,93
2020,02,경기,총계,특수,비사업용,7224,49
2020,02,경기,총계,특수,사업용,11096,44
2020,02,경기,총계,화물,계,800281,-985
2020,02,경기,총계,화물,비사업용,686400,-1192
2020,02,경기,총계,화물,사업용,113881,207
2020,02,경남,총계,소계,계,1729944,3617
2020,02,경남,총계,소계,비사업용,1642206,2598
2020,02,경남,총계,소계,사업용,87738,1019
2020,02,경남,총계,승용,계,1373420,3060
2020,02,경남,총계,승용,비사업용,1323350,2039
2020,02,경남,총계,승용,사업용,50070,1021
2020,02,경남,총계,승합,계,55121,-31
2020,02,경남,총계,승합,비사업용,47600,-22
2020,02,경남,총계,승합,사업용,7521,-9
2020,02,경남,총계,특수,계,7993,45
2020,02,경남,총계,특수,비사업용,2587,19
2020,02,경남,총계,특수,사업용,5406,26
2020,02,경남,총계,화물,계,293410,543
2020,02,경남,총계,화물,비사업용,268669,562
2020,02,경남,총계,화물,사업용,24741,-19
2020,02,경북,총계,소계,계,1451298,1537
2020,02,경북,총계,소계,비사업용,1402826,1661
2020,02,경북,총계,소계,사업용,48472,-124
2020,02,경북,총계,승용,계,1075772,1026
2020,02,경북,총계,승용,비사업용,1061457,1136
2020,02,경북,총계,승용,사업용,14315,-110
2020,02,경북,총계,승합,계,49010,-45
2020,02,경북,총계,승합,비사업용,43598,-18
2020,02,경북,총계,승합,사업용,5412,-27
2020,02,경북,총계,특수,계,8019,39
2020,02,경북,총계,특수,비사업용,3053,18
2020,02,경북,총계,특수,사업용,4966,21
2020,02,경북,총계,화물,계,318497,517
2020,02,경북,총계,화물,비사업용,294718,525
2020,02,경북,총계,화물,사업용,23779,-8
2020,02,광주,총계,소계,계,678442,509
2020,02,광주,총계,소계,비사업용,645896,567
2020,02,광주,총계,소계,사업용,32546,-58
2020,02,광주,총계,승용,계,562449,457
2020,02,광주,총계,승용,비사업용,547164,513
2020,02,광주,총계,승용,사업용,15285,-56
2020,02,광주,총계,승합,계,20390,-54
2020,02,광주,총계,승합,비사업용,17870,-39
2020,02,광주,총계,승합,사업용,2520,-15
2020,02,광주,총계,특수,계,2774,30
2020,02,광주,총계,특수,비사업용,951,17
2020,02,광주,총계,특수,사업용,1823,13
2020,02,광주,총계,화물,계,92829,76
2020,02,광주,총계,화물,비사업용,79911,76
2020,02,광주,총계,화물,사업용,12918,0
2020,02,대구,총계,소계,계,1191697,208
2020,02,대구,총계,소계,비사업용,1139749,376
2020,02,대구,총계,소계,사업용,51948,-168
2020,02,대구,총계,승용,계,996614,310
2020,02,대구,총계,승용,비사업용,969858,493
2020,02,대구,총계,승용,사업용,26756,-183
2020,02,대구,총계,승합,계,31519,-108
2020,02,대구,총계,승합,비사업용,27409,-96
2020,02,대구,총계,승합,사업용,4110,-12
2020,02,대구,총계,특수,계,3057,31
2020,02,대구,총계,특수,비사업용,1098,21
2020,02,대구,총계,특수,사업용,1959,10
2020,02,대구,총계,화물,계,160507,-25
2020,02,대구,총계,화물,비사업용,141384,-42
2020,02,대구,총계,화물,사업용,19123,17
2020,02,대전,총계,소계,계,675685,420
2020,02,대전,총계,소계,비사업용,646061,485
2020,02,대전,총계,소계,사업용,29624,-65
2020,02,대전,총계,승용,계,565217,378
2020,02,대전,총계,승용,비사업용,550834,452
2020,02,대전,총계,승용,사업용,14383,-74
2020,02,대전,총계,승합,계,21004,8
2020,02,대전,총계,승합,비사업용,18839,11
2020,02,대전,총계,승합,사업용,2165,-3
2020,02,대전,총계,특수,계,2528,25
2020,02,대전,총계,특수,비사업용,903,22
2020,02,대전,총계,특수,사업용,1625,3
2020,02,대전,총계,화물,계,86936,9
2020,02,대전,총계,화물,비사업용,75485,0
2020,02,대전,총계,화물,사업용,11451,9
2020,02,부산,총계,소계,계,1398638,1580
2020,02,부산,총계,소계,비사업용,1274800,198
2020,02,부산,총계,소계,사업용,123838,1382
2020,02,부산,총계,승용,계,1156385,1840
2020,02,부산,총계,승용,비사업용,1081220,435
2020,02,부산,총계,승용,사업용,75165,1405
2020,02,부산,총계,승합,계,43535,-83
2020,02,부산,총계,승합,비사업용,37312,-78
2020,02,부산,총계,승합,사업용,6223,-5
2020,02,부산,총계,특수,계,10563,11
2020,02,부산,총계,특수,비사업용,1730,11
2020,02,부산,총계,특수,사업용,8833,0
2020,02,부산,총계,화물,계,188155,-188
2020,02,부산,총계,화물,비사업용,154538,-170
2020,02,부산,총계,화물,사업용,33617,-18
2020,02,서울,총계,소계,계,3123984,-3582
2020,02,서울,총계,소계,비사업용,2917671,-2490
2020,02,서울,총계,소계,사업용,206313,-1092
