연월,평균_에너지소비효율_전체,평균_1회충전주행거리_전체(km),평균_충전지용량_전체(Ah),평균_에너지소비효율_상업용,평균_1회충전주행거리_상업용(km),평균_충전지용량_상업용(Ah),평균_에너지소비효율_비상업용,평균_1회충전주행거리_비상업용(km),평균_충전지용량_비상업용(Ah)
2019-07-01,4.856575682382133,285.57049402210697,158.06902774644712,2.3,84.0,86.0,5.085752688172043,303.64838709677423,164.54516129032257
2019-08-01,4.455913978494624,352.6976213750407,216.2984685565331,2.3,84.0,86.0,4.573573200992555,365.7898263027295,222.3230769230769
2019-09-01,4.355555555555555,373.18518518518516,233.03703703703704,2.3,84.0,86.0,4.434615384615384,384.3076923076923,238.69230769230768
2019-10-01,4.610645161290323,379.47634408602147,224.4768817204301,2.3,84.0,86.0,4.647231291628574,394.2489225545253,230.7307039310435
2019-11-01,4.727711538461539,379.04269230769233,218.75502136752135,2.3,84.0,86.0,4.747681365576102,395.2229492650546,225.16571834992888
2019-12-01,4.6388806694154745,363.08495432128706,221.0815789473684,2.6564516129032256,138.7258064516129,183.70967741935485,4.743053197509903,398.8047066591209,227.50556498773818
2020-01-01,4.621428571428572,359.9761904761905,221.5,2.725,149.25,202.5,4.741666666666666,399.3611111111111,227.88888888888889
2020-02-01,4.635591133004926,360.31198686371096,221.16379310344828,2.725,149.25,202.5,4.7607674104124404,400.55504845616406,227.62294343024564
2020-03-01,4.670274011983296,355.90383404950677,221.7028066936997,2.725,149.25,202.5,4.771548861480076,405.90180265654647,229.9162713472486
2020-04-01,4.660320512820513,360.0929487179487,225.96346153846156,2.7675,155.775,214.15,4.736187499999999,411.32750000000004,234.17625
2020-05-01,4.65780701754386,368.9481324278438,232.88508771929824,2.8666666666666667,171.0,241.33333333333334,4.679343715239153,420.0734149054505,240.44776418242492
2020-06-01,4.657894736842104,356.44736842105266,227.67368421052632,2.8666666666666667,171.0,241.33333333333334,4.646666666666666,420.06666666666666,240.62
2020-07-01,4.654111084162017,355.0225159673377,226.35050529549682,2.8666666666666667,171.0,241.33333333333334,4.642163187855787,417.34079696394684,238.78895635673624
2020-08-01,4.915703651187522,300.6614675646934,184.3763913505849,2.8666666666666667,171.0,241.33333333333334,5.014463419776512,372.6893316466372,185.16017288635885
2020-09-01,4.807761607761607,278.88565488565484,176.32986832986836,2.825,172.5,226.0,5.105653021442494,365.32943469785573,175.12826510721248
2020-10-01,4.049164487067713,199.08020924149957,168.1296788724208,2.7416666666666667,175.5,195.33333333333334,4.727674023769101,279.9575551782683,138.88813970409896
2020-11-01,3.8802910052910056,176.0994708994709,165.94333333333333,2.7215873015873013,175.0809523809524,193.72698412698412,4.5600000000000005,255.73333333333332,129.46285714285716
2020-12-01,3.8743753571243054,178.89564178484235,158.72840891382268,2.6780896522832007,175.8617511520737,181.69585253456222,4.5,262.8333333333333,134.1
2021-01-01,3.8880259467040674,179.0327840112202,157.34715988779803,2.672727272727273,176.0,180.0,4.5,262.8333333333333,134.1
2021-02-01,3.9791666666666665,174.875,156.69166666666666,2.672727272727273,176.0,180.0,4.5,262.8333333333333,134.1
2021-03-01,3.9512447405329594,179.52051192145865,153.03930575035062,2.672727272727273,176.0,180.0,4.528225806451613,271.4233870967742,132.7959677419355
2021-04-01,4.132142857142858,183.46428571428572,143.55714285714285,2.672727272727273,176.0,180.0,4.625,300.875,128.325
2021-05-01,4.22363215837844,218.96947769742653,149.1285443209542,2.672727272727273,176.0,180.0,4.6674760723147815,339.1209677419355,147.51526054590573
2021-06-01,4.293744623655914,242.34946236559142,152.78783333333334,2.672727272727273,176.0,180.0,4.775079365079364,354.55079365079365,152.59111111111113
2021-07-01,4.470472851132038,272.6073265210713,150.3489360849529,2.672727272727273,176.0,180.0,4.919497317393531,377.17289639870285,149.0843904212768
