년도,월,지역,연료,차종,용도,등록수,순증가량
2020,02,대전,전기,소계,사업용,262,-1
2020,02,대전,전기,승용,계,2580,2
2020,02,대전,전기,승용,비사업용,2327,4
2020,02,대전,전기,승용,사업용,253,-2
2020,02,대전,전기,승합,계,8,0
2020,02,대전,전기,승합,비사업용,2,0
2020,02,대전,전기,승합,사업용,6,0
2020,02,대전,전기,특수,계,0,0
2020,02,대전,전기,특수,비사업용,0,0
2020,02,대전,전기,특수,사업용,0,0
2020,02,대전,전기,화물,계,37,5
2020,02,대전,전기,화물,비사업용,34,4
2020,02,대전,전기,화물,사업용,3,1
2020,02,부산,전기,소계,계,3270,47
2020,02,부산,전기,소계,비사업용,2469,45
2020,02,부산,전기,소계,사업용,801,2
2020,02,부산,전기,승용,계,3143,47
2020,02,부산,전기,승용,비사업용,2467,45
2020,02,부산,전기,승용,사업용,676,2
2020,02,부산,전기,승합,계,125,0
2020,02,부산,전기,승합,비사업용,0,0
2020,02,부산,전기,승합,사업용,125,0
2020,02,부산,전기,특수,계,1,0
2020,02,부산,전기,특수,비사업용,1,0
2020,02,부산,전기,특수,사업용,0,0
2020,02,부산,전기,화물,계,1,0
2020,02,부산,전기,화물,비사업용,1,0
2020,02,부산,전기,화물,사업용,0,0
2020,02,서울,전기,소계,계,16438,1085
2020,02,서울,전기,소계,비사업용,9773,959
2020,02,서울,전기,소계,사업용,6665,126
2020,02,서울,전기,승용,계,15327,917
2020,02,서울,전기,승용,비사업용,8866,822
2020,02,서울,전기,승용,사업용,6461,95
2020,02,서울,전기,승합,계,135,1
2020,02,서울,전기,승합,비사업용,7,0
2020,02,서울,전기,승합,사업용,128,1
2020,02,서울,전기,특수,계,1,0
2020,02,서울,전기,특수,비사업용,1,0
2020,02,서울,전기,특수,사업용,0,0
2020,02,서울,전기,화물,계,975,167
2020,02,서울,전기,화물,비사업용,899,137
2020,02,서울,전기,화물,사업용,76,30
2020,02,세종,전기,소계,계,933,22
2020,02,세종,전기,소계,비사업용,927,22
2020,02,세종,전기,소계,사업용,6,0
2020,02,세종,전기,승용,계,925,22
2020,02,세종,전기,승용,비사업용,923,22
2020,02,세종,전기,승용,사업용,2,0
2020,02,세종,전기,승합,계,4,0
2020,02,세종,전기,승합,비사업용,0,0
2020,02,세종,전기,승합,사업용,4,0
2020,02,세종,전기,특수,계,4,0
2020,02,세종,전기,특수,비사업용,4,0
2020,02,세종,전기,특수,사업용,0,0
2020,02,세종,전기,화물,계,0,0
2020,02,세종,전기,화물,비사업용,0,0
2020,02,세종,전기,화물,사업용,0,0
2020,02,울산,전기,소계,계,1464,23
2020,02,울산,전기,소계,비사업용,1247,23
2020,02,울산,전기,소계,사업용,217,0
2020,02,울산,전기,승용,계,1438,-3
2020,02,울산,전기,승용,비사업용,1221,-3
2020,02,울산,전기,승용,사업용,217,0
2020,02,울산,전기,승합,계,0,0
2020,02,울산,전기,승합,비사업용,0,0
2020,02,울산,전기,승합,사업용,0,0
2020,02,울산,전기,특수,계,0,0
2020,02,울산,전기,특수,비사업용,0,0
2020,02,울산,전기,특수,사업용,0,0
2020,02,울산,전기,화물,계,26,26
2020,02,울산,전기,화물,비사업용,26,26
2020,02,울산,전기,화물,사업용,0,0
2020,02,인천,전기,소계,계,2791,131
2020,02,인천,전기,소계,비사업용,2605,114
2020,02,인천,전기,소계,사업용,186,17
2020,02,인천,전기,승용,계,2686,95
2020,02,인천,전기,승용,비사업용,2545,87
2020,02,인천,전기,승용,사업용,141,8
2020,02,인천,전기,승합,계,26,0
2020,02,인천,전기,승합,비사업용,1,0
2020,02,인천,전기,승합,사업용,25,0
2020,02,인천,전기,특수,계,0,0
2020,02,인천,전기,특수,비사업용,0,0
2020,02,인천,전기,특수,사업용,0,0
2020,02,인천,전기,화물,계,79,36
2020,02,인천,전기,화물,비사업용,59,27
2020,02,인천,전기,화물,사업용,20,9
2020,02,전국,전기,소계,계,93572,2871
2020,02,전국,전기,소계,비사업용,78850,2769
2020,02,전국,전기,소계,사업용,14722,102
2020,02,전국,전기,승용,계,90185,1936
2020,02,전국,전기,승용,비사업용,76479,1926
2020,02,전국,전기,승용,사업용,13706,10
2020,02,전국,전기,승합,계,867,1
2020,02,전국,전기,승합,비사업용,30,0
2020,02,전국,전기,승합,사업용,837,1
2020,02,전국,전기,특수,계,25,0
2020,02,전국,전기,특수,비사업용,25,0
2020,02,전국,전기,특수,사업용,0,0
2020,02,전국,전기,화물,계,2495,934
2020,02,전국,전기,화물,비사업용,2316,843
2020,02,전국,전기,화물,사업용,179,91
2020,02,전남,전기,소계,계,3346,20
2020,02,전남,전기,소계,비사업용,3269,20
2020,02,전남,전기,소계,사업용,77,0
2020,02,전남,전기,승용,계,3334,18
2020,02,전남,전기,승용,비사업용,3265,18
2020,02,전남,전기,승용,사업용,69,0
2020,02,전남,전기,승합,계,8,0
2020,02,전남,전기,승합,비사업용,0,0
2020,02,전남,전기,승합,사업용,8,0
2020,02,전남,전기,특수,계,1,0
2020,02,전남,전기,특수,비사업용,1,0
2020,02,전남,전기,특수,사업용,0,0
2020,02,전남,전기,화물,계,3,2
