지역,년,월,미세먼지2.5 수치,미세먼지10 수치
경남,2020,7,11.0,20.0
제주,2020,7,10.0,20.0
전국,2020,8,14.0,24.0
서울,2020,8,14.0,23.0
부산,2020,8,19.0,31.0
대구,2020,8,16.0,25.0
인천,2020,8,14.0,24.0
광주,2020,8,14.0,22.0
대전,2020,8,10.0,20.0
울산,2020,8,17.0,28.0
세종,2020,8,11.0,20.0
경기,2020,8,13.0,24.0
강원,2020,8,11.0,19.0
충북,2020,8,11.0,21.0
충남,2020,8,13.0,24.0
전북,2020,8,15.0,22.0
전남,2020,8,16.0,28.0
경북,2020,8,14.0,23.0
경남,2020,8,16.0,29.0
제주,2020,8,15.0,29.0
전국,2020,9,12.0,22.0
서울,2020,9,11.0,19.0
부산,2020,9,13.0,24.0
대구,2020,9,15.0,25.0
인천,2020,9,10.0,20.0
광주,2020,9,13.0,21.0
대전,2020,9,12.0,21.0
울산,2020,9,14.0,25.0
세종,2020,9,10.0,20.0
경기,2020,9,11.0,22.0
강원,2020,9,10.0,18.0
충북,2020,9,11.0,22.0
충남,2020,9,13.0,24.0
전북,2020,9,14.0,23.0
전남,2020,9,13.0,22.0
경북,2020,9,12.0,22.0
경남,2020,9,13.0,24.0
제주,2020,9,13.0,26.0
전국,2020,10,17.0,34.0
서울,2020,10,17.0,33.0
부산,2020,10,15.0,30.0
대구,2020,10,18.0,33.0
인천,2020,10,15.0,34.0
광주,2020,10,17.0,31.0
대전,2020,10,18.0,33.0
울산,2020,10,15.0,30.0
세종,2020,10,20.0,35.0
경기,2020,10,19.0,38.0
강원,2020,10,15.0,28.0
충북,2020,10,21.0,36.0
충남,2020,10,20.0,39.0
전북,2020,10,19.0,35.0
전남,2020,10,14.0,28.0
경북,2020,10,16.0,31.0
경남,2020,10,14.0,29.0
제주,2020,10,16.0,31.0
전국,2020,11,21.0,38.0
서울,2020,11,24.0,42.0
부산,2020,11,17.0,31.0
대구,2020,11,23.0,40.0
인천,2020,11,21.0,39.0
광주,2020,11,20.0,32.0
대전,2020,11,20.0,37.0
울산,2020,11,17.0,31.0
세종,2020,11,25.0,40.0
경기,2020,11,25.0,45.0
강원,2020,11,20.0,34.0
충북,2020,11,25.0,41.0
충남,2020,11,25.0,42.0
전북,2020,11,22.0,36.0
전남,2020,11,15.0,29.0
경북,2020,11,21.0,36.0
경남,2020,11,17.0,30.0
제주,2020,11,13.0,28.0
전국,2020,12,24.0,38.0
서울,2020,12,27.0,42.0
부산,2020,12,21.0,33.0
대구,2020,12,24.0,38.0
인천,2020,12,24.0,39.0
광주,2020,12,24.0,33.0
대전,2020,12,20.0,38.0
울산,2020,12,19.0,30.0
세종,2020,12,28.0,44.0
경기,2020,12,29.0,46.0
강원,2020,12,24.0,36.0
충북,2020,12,29.0,44.0
충남,2020,12,27.0,42.0
전북,2020,12,23.0,36.0
전남,2020,12,17.0,28.0
경북,2020,12,23.0,36.0
경남,2020,12,19.0,30.0
제주,2020,12,14.0,24.0
전국,2021,1,20.0,39.0
서울,2021,1,21.0,38.0
부산,2021,1,19.0,36.0
대구,2021,1,21.0,40.0
인천,2021,1,20.0,37.0
광주,2021,1,22.0,37.0
대전,2021,1,18.0,39.0
울산,2021,1,17.0,34.0
세종,2021,1,25.0,45.0
경기,2021,1,22.0,42.0
강원,2021,1,18.0,35.0
충북,2021,1,24.0,43.0
충남,2021,1,25.0,45.0
전북,2021,1,22.0,40.0
전남,2021,1,17.0,34.0
경북,2021,1,19.0,38.0
경남,2021,1,17.0,33.0
제주,2021,1,14.0,31.0
전국,2021,2,25.0,43.0
서울,2021,2,29.0,48.0
부산,2021,2,21.0,37.0
대구,2021,2,24.0,41.0
인천,2021,2,28.0,46.0
광주,2021,2,25.0,40.0
대전,2021,2,21.0,42.0
울산,2021,2,21.0,35.0
세종,2021,2,27.0,47.0
경기,2021,2,31.0,52.0
강원,2021,2,22.0,39.0
충북,2021,2,28.0,46.0
충남,2021,2,32.0,52.0
전북,2021,2,26.0,42.0
전남,2021,2,19.0,35.0
경북,2021,2,22.0,40.0
경남,2021,2,19.0,33.0
제주,2021,2,17.0,34.0
전국,2021,3,27.0,65.0
서울,2021,3,32.0,67.0
부산,2021,3,21.0,60.0
대구,2021,3,23.0,59.0
인천,2021,3,33.0,69.0
광주,2021,3,27.0,65.0
대전,2021,3,23.0,63.0
울산,2021,3,20.0,55.0
세종,2021,3,27.0,67.0
경기,2021,3,33.0,72.0
강원,2021,3,20.0,51.0
충북,2021,3,27.0,62.0
충남,2021,3,34.0,79.0
전북,2021,3,30.0,75.0
전남,2021,3,20.0,64.0
경북,2021,3,21.0,56.0
경남,2021,3,19.0,53.0
제주,2021,3,23.0,72.0
전국,2021,4,17.0,41.0
서울,2021,4,19.0,42.0
부산,2021,4,15.0,37.0
대구,2021,4,17.0,42.0
인천,2021,4,19.0,42.0
광주,2021,4,18.0,39.0
대전,2021,4,15.0,41.0
울산,2021,4,16.0,37.0
세종,2021,4,16.0,42.0
경기,2021,4,19.0,46.0
강원,2021,4,15.0,38.0
