날짜,평균_에너지소비효율_전체,평균_1회충전주행거리_전체(km),평균_충전지용량_전체(Ah),평균_에너지소비효율_상업용,평균_1회충전주행거리_상업용(km),평균_충전지용량_상업용(Ah),평균_에너지소비효율_비상업용,평균_1회충전주행거리_비상업용(km),평균_충전지용량_비상업용(Ah)
2023-10-21,4.157291666666667,378.7395833333333,213.775,3.28,180.6,157.7,4.259302325581396,401.77906976744185,220.29534883720933
2023-10-22,4.157291666666667,378.7395833333333,213.775,3.28,180.6,157.7,4.259302325581396,401.77906976744185,220.29534883720933
2023-10-23,4.157291666666667,378.7395833333333,213.775,3.28,180.6,157.7,4.259302325581396,401.77906976744185,220.29534883720933
2023-10-24,4.157291666666667,378.7395833333333,213.775,3.28,180.6,157.7,4.259302325581396,401.77906976744185,220.29534883720933
2023-10-25,4.157291666666667,378.7395833333333,213.775,3.28,180.6,157.7,4.259302325581396,401.77906976744185,220.29534883720933
2023-10-26,4.157291666666667,378.7395833333333,213.775,3.28,180.6,157.7,4.259302325581396,401.77906976744185,220.29534883720933
2023-10-27,4.157291666666667,378.7395833333333,213.775,3.28,180.6,157.7,4.259302325581396,401.77906976744185,220.29534883720933
2023-10-28,4.157291666666667,378.7395833333333,213.775,3.28,180.6,157.7,4.259302325581396,401.77906976744185,220.29534883720933
2023-10-29,4.157291666666667,378.7395833333333,213.775,3.28,180.6,157.7,4.259302325581396,401.77906976744185,220.29534883720933
2023-10-30,4.157291666666667,378.7395833333333,213.775,3.28,180.6,157.7,4.259302325581396,401.77906976744185,220.29534883720933
2023-10-31,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-01,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-02,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-03,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-04,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-05,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-06,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-07,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-08,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-09,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-10,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-11,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-12,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-13,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-14,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-15,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-16,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-17,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-18,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-19,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-20,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-21,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-22,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-23,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-24,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-25,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-26,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-27,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-28,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-29,4.16605504587156,391.0091743119266,220.65412844036697,3.28,180.6,157.7,4.255555555555556,412.26262626262627,227.0131313131313
2023-11-30,4.178070175438597,386.55263157894734,218.39736842105265,3.1999999999999993,181.16666666666666,161.41666666666666,4.2931372549019615,410.7156862745098,225.10098039215686
2023-12-01,4.178070175438597,386.55263157894734,218.39736842105265,3.1999999999999993,181.16666666666666,161.41666666666666,4.2931372549019615,410.7156862745098,225.10098039215686
2023-12-02,4.178070175438597,386.55263157894734,218.39736842105265,3.1999999999999993,181.16666666666666,161.41666666666666,4.2931372549019615,410.7156862745098,225.10098039215686
2023-12-03,4.178070175438597,386.55263157894734,218.39736842105265,3.1999999999999993,181.16666666666666,161.41666666666666,4.2931372549019615,410.7156862745098,225.10098039215686
2023-12-04,4.178070175438597,386.55263157894734,218.39736842105265,3.1999999999999993,181.16666666666666,161.41666666666666,4.2931372549019615,410.7156862745098,225.10098039215686
2023-12-05,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-06,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-07,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-08,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-09,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-10,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-11,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-12,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-13,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-14,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-15,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-16,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-17,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-18,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-19,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-20,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
2023-12-21,4.20873786407767,389.3980582524272,216.4398058252427,3.155555555555556,189.66666666666666,167.22222222222223,4.309574468085107,408.52127659574467,221.15212765957446
