연도,월,시도,휘발유가격,디젤가격
2017,10,전국,1835.32,1295.61
2017,11,서울,1623.93,1420.19
2017,11,부산,1511.89,1302.0
2017,11,대구,1502.66,1296.64
2017,11,인천,1531.87,1319.55
2017,11,광주,1509.39,1301.83
2017,11,대전,1516.26,1310.54
2017,11,울산,1506.89,1298.32
2017,11,경기,1530.91,1321.6
2017,11,강원,1521.19,1315.58
2017,11,충북,1519.5,1309.11
2017,11,충남,1520.01,1312.49
2017,11,전북,1509.87,1299.5
2017,11,전남,1504.36,1296.57
2017,11,경북,1502.19,1295.63
2017,11,경남,1496.21,1289.17
2017,11,제주,1610.7,1400.36
2017,11,세종,1528.89,1321.15
2017,11,전국,1847.19,1313.02
2017,12,서울,1636.78,1432.79
2017,12,부산,1527.56,1317.96
2017,12,대구,1522.2,1317.21
2017,12,인천,1550.61,1338.33
2017,12,광주,1528.86,1321.24
2017,12,대전,1533.4,1327.44
2017,12,울산,1524.68,1317.89
2017,12,경기,1549.6,1340.13
2017,12,강원,1542.39,1336.9
2017,12,충북,1538.51,1328.73
2017,12,충남,1539.7,1332.51
2017,12,전북,1528.11,1317.57
2017,12,전남,1526.17,1318.83
2017,12,경북,1523.28,1317.22
2017,12,경남,1518.23,1312.33
2017,12,제주,1614.49,1397.61
2017,12,세종,1550.92,1341.83
2017,12,전국,1855.58,1332.35
2018,1,서울,1645.18,1442.11
2018,1,부산,1540.99,1333.54
2018,1,대구,1533.19,1328.54
2018,1,인천,1558.48,1347.68
2018,1,광주,1541.59,1335.71
2018,1,대전,1550.6,1345.34
2018,1,울산,1539.61,1335.85
2018,1,경기,1560.44,1351.82
2018,1,강원,1554.79,1349.9
2018,1,충북,1550.58,1341.91
2018,1,충남,1552.99,1346.46
2018,1,전북,1537.98,1328.96
2018,1,전남,1538.21,1331.79
2018,1,경북,1534.85,1328.96
2018,1,경남,1530.57,1325.77
2018,1,제주,1616.16,1407.0
2018,1,세종,1564.1,1357.59
2018,1,전국,1860.18,1344.93
2018,2,서울,1653.64,1452.19
2018,2,부산,1554.25,1349.89
2018,2,대구,1543.9,1340.58
2018,2,인천,1568.68,1360.9
2018,2,광주,1554.52,1350.56
2018,2,대전,1562.72,1360.33
2018,2,울산,1555.06,1353.41
2018,2,경기,1571.77,1366.58
2018,2,강원,1567.74,1365.0
2018,2,충북,1565.44,1359.38
2018,2,충남,1568.38,1363.8
2018,2,전북,1550.38,1344.88
2018,2,전남,1553.58,1349.41
2018,2,경북,1547.98,1343.72
2018,2,경남,1542.95,1340.25
2018,2,제주,1632.39,1437.15
2018,2,세종,1579.81,1376.05
2018,2,전국,1867.51,1360.41
2018,3,서울,1643.41,1442.31
2018,3,부산,1542.05,1339.65
2018,3,대구,1533.71,1331.59
2018,3,인천,1557.29,1350.03
2018,3,광주,1543.12,1341.35
2018,3,대전,1555.05,1353.27
2018,3,울산,1552.27,1351.53
2018,3,경기,1564.02,1359.48
2018,3,강원,1565.06,1362.65
2018,3,충북,1562.03,1356.71
2018,3,충남,1562.73,1358.98
2018,3,전북,1544.8,1340.82
2018,3,전남,1552.18,1348.73
2018,3,경북,1544.6,1340.76
2018,3,경남,1535.58,1334.16
2018,3,제주,1597.68,1404.65
2018,3,세종,1578.3,1375.04
2018,3,전국,1861.58,1354.58
2018,4,서울,1641.27,1441.08
2018,4,부산,1527.38,1327.15
2018,4,대구,1522.67,1322.71
2018,4,인천,1549.16,1344.81
2018,4,광주,1529.17,1328.87
2018,4,대전,1544.67,1344.38
2018,4,울산,1544.98,1344.99
2018,4,경기,1558.92,1355.36
2018,4,강원,1560.39,1358.75
2018,4,충북,1557.61,1353.4
2018,4,충남,1557.65,1354.75
2018,4,전북,1538.18,1335.45
2018,4,전남,1548.46,1345.11
2018,4,경북,1537.65,1334.04
2018,4,경남,1527.88,1327.69
2018,4,제주,1589.16,1396.78
2018,4,세종,1561.59,1359.04
2018,4,전국,1860.06,1349.06
2018,5,서울,1670.44,1472.51
2018,5,부산,1561.93,1362.56
2018,5,대구,1555.6,1357.29
2018,5,인천,1586.76,1386.68
2018,5,광주,1559.78,1360.17
2018,5,대전,1576.01,1377.51
2018,5,울산,1570.54,1372.14
2018,5,경기,1590.45,1389.88
2018,5,강원,1586.07,1386.79
2018,5,충북,1583.8,1381.62
2018,5,충남,1582.24,1381.89
2018,5,전북,1571.05,1370.64
2018,5,전남,1571.22,1370.11
2018,5,경북,1563.18,1362.16
2018,5,경남,1556.32,1357.08
2018,5,제주,1635.43,1443.27
2018,5,세종,1581.58,1381.61
2018,5,전국,1878.41,1380.24
2018,6,서울,1694.76,1497.46
2018,6,부산,1593.31,1394.19
2018,6,대구,1588.08,1390.12
2018,6,인천,1616.57,1418.5
2018,6,광주,1590.6,1391.53
2018,6,대전,1603.33,1404.81
2018,6,울산,1595.77,1398.9
2018,6,경기,1618.59,1418.61
2018,6,강원,1616.75,1418.84
2018,6,충북,1611.29,1410.21
2018,6,충남,1608.28,1408.93
2018,6,전북,1599.96,1400.32
2018,6,전남,1601.98,1402.76
2018,6,경북,1593.81,1394.48
2018,6,경남,1586.03,1387.36
2018,6,제주,1660.45,1468.29
2018,6,세종,1604.15,1406.59
2018,6,전국,1897.89,1410.01
2018,7,서울,1695.79,1498.15
2018,7,부산,1593.79,1395.16
2018,7,대구,1586.94,1389.59
2018,7,인천,1615.93,1418.54
2018,7,광주,1592.74,1393.94
2018,7,대전,1605.45,1406.88
2018,7,울산,1598.35,1401.4
2018,7,경기,1620.9,1420.83
2018,7,강원,1619.29,1421.8
2018,7,충북,1615.11,1413.91
2018,7,충남,1611.49,1412.1
2018,7,전북,1600.4,1400.42
2018,7,전남,1605.09,1406.16
2018,7,경북,1595.93,1396.43
2018,7,경남,1587.85,1389.15
2018,7,제주,1648.71,1456.74
2018,7,세종,1610.54,1412.16
2018,7,전국,1898.51,1411.85
2018,8,서울,1704.46,1506.51
2018,8,부산,1600.75,1402.01
2018,8,대구,1592.44,1394.74
2018,8,인천,1618.98,1421.72
2018,8,광주,1599.49,1400.83
2018,8,대전,1611.72,1412.32
2018,8,울산,1607.59,1409.89
2018,8,경기,1628.64,1428.72
2018,8,강원,1628.66,1430.78
2018,8,충북,1623.98,1422.79
2018,8,충남,1618.77,1419.04
2018,8,전북,1606.3,1405.93
2018,8,전남,1610.27,1411.41
2018,8,경북,1602.74,1402.79
2018,8,경남,1596.17,1397.89
2018,8,제주,1663.42,1471.24
2018,8,세종,1621.32,1422.82
2018,8,전국,1904.61,1419.13
2018,9,서울,1726.75,1529.01
2018,9,부산,1619.64,1421.02
2018,9,대구,1610.82,1413.7
2018,9,인천,1639.87,1443.66
2018,9,광주,1622.34,1423.03
2018,9,대전,1635.1,1435.75
2018,9,울산,1625.58,1428.3
2018,9,경기,1648.27,1449.08
2018,9,강원,1643.78,1446.7
2018,9,충북,1645.32,1444.82
2018,9,충남,1638.09,1438.28
2018,9,전북,1627.16,1427.27
2018,9,전남,1627.19,1428.65
2018,9,경북,1620.43,1421.0
2018,9,경남,1613.16,1415.33
2018,9,제주,1694.02,1506.59
2018,9,세종,1644.01,1444.9
2018,9,전국,1919.46,1438.93
2018,10,서울,1765.15,1571.81
2018,10,부산,1664.65,1467.78
2018,10,대구,1654.15,1458.23
2018,10,인천,1685.39,1491.36
2018,10,광주,1671.82,1474.78
2018,10,대전,1685.43,1489.57
2018,10,울산,1671.79,1474.99
2018,10,경기,1690.56,1494.6
2018,10,강원,1683.47,1488.75
2018,10,충북,1690.5,1492.24
2018,10,충남,1682.08,1484.79
2018,10,전북,1668.95,1471.81
2018,10,전남,1669.62,1472.75
2018,10,경북,1665.42,1468.14
2018,10,경남,1658.93,1462.91
2018,10,제주,1734.64,1555.34
2018,10,세종,1686.31,1489.9
2018,10,전국,1948.35,1485.02
2018,11,서울,1660.28,1506.41
2018,11,부산,1564.34,1404.78
