년,월,차종,주행거리,에너지소비효율,충전지용량
2019,12,소계,363.08495432128706,4.6388806694154745,221.0815789473684
2020,1,승용,399.3611111111111,4.741666666666666,227.88888888888889
2020,1,화물,149.25,2.725,202.5
2020,1,소계,359.9761904761905,4.621428571428572,221.5
2020,2,승용,400.55504845616406,4.7607674104124404,227.62294343024564
2020,2,화물,149.25,2.725,202.5
2020,2,소계,360.31198686371096,4.635591133004926,221.16379310344828
2020,3,승용,405.90180265654647,4.771548861480076,229.9162713472486
2020,3,화물,149.25,2.725,202.5
2020,3,소계,355.90383404950677,4.670274011983296,221.7028066936997
2020,4,승용,411.32750000000004,4.736187499999999,234.17625
2020,4,화물,155.775,2.7675,214.15
2020,4,소계,360.0929487179487,4.660320512820513,225.96346153846156
2020,5,승용,420.0734149054505,4.679343715239153,240.44776418242492
2020,5,화물,171.0,2.8666666666666667,241.33333333333334
2020,5,소계,368.9481324278438,4.65780701754386,232.88508771929824
2020,6,승용,420.06666666666666,4.646666666666666,240.62
2020,6,화물,171.0,2.8666666666666667,241.33333333333334
2020,6,소계,356.44736842105266,4.657894736842104,227.67368421052632
2020,7,승용,417.34079696394684,4.642163187855787,238.78895635673624
2020,7,화물,171.0,2.8666666666666667,241.33333333333334
2020,7,소계,355.0225159673377,4.654111084162017,226.35050529549682
2020,8,승용,372.6893316466372,5.014463419776512,185.16017288635885
2020,8,화물,171.0,2.8666666666666667,241.33333333333334
2020,8,소계,300.6614675646934,4.915703651187522,184.3763913505849
2020,9,승용,365.32943469785573,5.105653021442494,175.12826510721248
2020,9,화물,172.5,2.825,226.0
2020,9,소계,278.88565488565484,4.807761607761607,176.32986832986836
2020,10,승용,279.9575551782683,4.727674023769101,138.88813970409896
2020,10,화물,175.5,2.7416666666666667,195.33333333333334
2020,10,소계,199.08020924149957,4.049164487067713,168.1296788724208
2020,11,승용,255.73333333333332,4.5600000000000005,129.46285714285716
2020,11,화물,175.0809523809524,2.7215873015873013,193.72698412698412
2020,11,소계,176.0994708994709,3.8802910052910056,165.94333333333333
2020,12,승용,262.8333333333333,4.5,134.1
2020,12,화물,175.8617511520737,2.6780896522832007,181.69585253456222
2020,12,소계,178.89564178484235,3.8743753571243054,158.72840891382268
2021,1,승용,262.8333333333333,4.5,134.1
2021,1,화물,176.0,2.672727272727273,180.0
2021,1,소계,179.0327840112202,3.8880259467040674,157.34715988779803
2021,2,승용,262.8333333333333,4.5,134.1
2021,2,화물,176.0,2.672727272727273,180.0
2021,2,소계,174.875,3.9791666666666665,156.69166666666666
2021,3,승용,271.4233870967742,4.528225806451613,132.7959677419355
2021,3,화물,176.0,2.672727272727273,180.0
2021,3,소계,179.52051192145865,3.9512447405329594,153.03930575035062
2021,4,승용,300.875,4.625,128.325
2021,4,화물,176.0,2.672727272727273,180.0
2021,4,소계,183.46428571428572,4.132142857142858,143.55714285714285
2021,5,승용,339.1209677419355,4.6674760723147815,147.51526054590573
2021,5,화물,176.0,2.672727272727273,180.0
2021,5,소계,218.96947769742653,4.22363215837844,149.1285443209542
2021,6,승용,354.55079365079365,4.775079365079364,152.59111111111113
2021,6,화물,176.0,2.672727272727273,180.0
2021,6,소계,242.34946236559142,4.293744623655914,152.78783333333334
2021,7,승용,377.17289639870285,4.919497317393531,149.0843904212768
2021,7,화물,176.0,2.672727272727273,180.0
2021,7,소계,272.6073265210713,4.470472851132038,150.3489360849529
2021,8,승용,386.0934371523915,4.898703873869517,153.2483242249843
2021,8,화물,176.0,2.672727272727273,180.0
2021,8,소계,281.7826420890937,4.474308755760369,152.8947004608295
2021,9,승용,378.19750410509033,4.8265944170771755,154.05404269293925
2021,9,화물,173.46666666666667,2.626262626262626,179.53333333333333
2021,9,소계,292.4922922922923,4.57327977977978,151.3001111111111
2021,10,승용,379.9428571428571,4.76,145.69142857142856
2021,10,화물,156.0,2.4666666666666663,173.0
2021,10,소계,318.8888888888889,4.717777777777778,142.02666666666667
2021,11,승용,378.25,4.738492063492063,147.75555555555553
2021,11,화물,133.26666666666668,2.344444444444444,162.73333333333332
2021,11,소계,330.4358683378501,4.761741079494128,142.74774796747968
2021,12,승용,369.7857142857143,4.630952380952381,158.0761904761905
2021,12,화물,125.0,2.3,159.0
2021,12,소계,332.8125,4.685416666666666,151.98333333333335
2022,1,승용,369.8110599078341,4.570967741935484,163.49297235023042
2022,1,화물,125.0,2.3,159.0
2022,1,소계,337.512170069207,4.622144901144642,157.38430536973726
2022,2,승용,369.82142857142856,4.546428571428572,165.70892857142857
2022,2,화물,125.0,2.3,159.0
2022,2,소계,343.19354838709677,4.57258064516129,159.86612903225813
2022,3,승용,369.15325193702586,4.546305912960869,167.67957849055318
2022,3,화물,154.34193548387097,2.531397849462366,169.68387096774194
2022,3,소계,343.48843436490034,4.5168625653584105,163.4173324719547
2022,4,승용,364.041095890411,4.586301369863013,161.24520547945204
2022,4,화물,164.4966666666667,2.9125555555555556,160.0488888888889
2022,4,소계,344.32007201646087,4.485172839506173,160.31946347736627
2022,5,승용,361.56160531513666,4.5798544703157535,160.36085261501597
2022,5,화물,163.5,2.983333333333333,157.33333333333334
2022,5,소계,339.83670047394395,4.469513537370945,159.2782181951711
2022,6,승용,358.17791936806026,4.533568075117372,160.82973694015948
2022,6,화물,163.5,2.983333333333333,157.33333333333334
2022,6,소계,338.41851115129595,4.4161458710066315,159.82150572634117
2022,7,승용,353.83492063492065,4.397619047619049,173.29905273937527
2022,7,화물,168.52380952380952,3.1955453149001536,152.63133640552994
2022,7,소계,330.9653683791318,4.280979689366785,169.76576821983272
2022,8,승용,362.58833525345625,4.416309843830005,177.16335285458268
2022,8,화물,168.22222222222223,3.211111111111111,152.5
2022,8,소계,335.81637997629707,4.2809276772562175,172.82803011328465
2022,9,승용,365.1019280356306,4.493883028598217,173.3061445147679
2022,9,화물,169.68747474747477,3.1701010101010096,154.98999999999998
2022,9,소계,336.9595785291704,4.352277288788296,169.7583295204855
2022,10,승용,361.0762365591398,4.508430107526882,178.79441935483868
2022,10,화물,175.1,3.2,157.35
2022,10,소계,331.7411290322581,4.376076850094877,174.40660945316543
2022,11,승용,363.64640522875817,4.497973856209151,180.53838235294114
2022,11,화물,175.1,3.2,157.35
2022,11,소계,334.0892489711934,4.36792695473251,175.91726056864945
2022,12,승용,373.74583042045344,4.500729052232098,185.8548511934485
2022,12,화물,171.1940446650124,3.2267990074441686,154.6667493796526
2022,12,소계,337.7377495541357,4.342560559624609,179.446162969889
