"구분(1)",구분(2),2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12
"경기도",하남,34,66,58,88,75,78,39,49,25,24,25,18,27,43,43,46,43,45,41,30,32,17,20,17**,34,38,46,43,54,70,49,69,39,29,27,16,27,48,39,48,43,43,45,34,24,26,22,20,24,38,38,48,48,73,67,39,29,28,23,21,25,30,35,36,31,51,52,30,32,24,28,18,20,26**,33
"경기도",화성,37,67,49,71,61,75,48,59,34,33,31,28,39,47,46,48,44,49,44,39,42,25,25,25,40,45,44,40,52,77,47,67,40,27,26,19,32,47,42,44,41,47,49,37,26,29,22,28,34,47,39,51,51,74,73,45,35,29,25,25,35,33,38,36,34,53,55,33,34,23,27,20,28,31,33
"경기도",양주,40,70,59,84,61,70,40,53,27,25,24,23,37,47,42,41,37,44,46,35,36,19,17,19,36,47,46,40,49,64,40,55,31,23,20,13,28,47,41,45,38,40,43,32,21,21,19,20,25,40,41,49,51,70,64,37,28,24,19,21,28,30,36,38,32,51,52,30,31,17,20,16,25,29,35
"경기도",동두천,29,58,52,74,57,68,42,51,28,24,25,21,33,47,48,45,41,49,50,34,36,18,18,16,26,36,42,35,45,57,37,48,26,19,16,12,23,41,37,40,38,40,47,33,20,19,17,17,19,36,38,44,44,66,59,33,26,24,17,18,25,28,33,34,27,45,44,25,28,19,20*,18,22,29,34
"경기도",안성,36,72,51,75,68,78,47,58,30,23,26,22,37,53,48,47,46,53,49,37,37,20,22,23,46,50,51,45,54,77,47,64,34,21,22,17,34,53,45,51,46,52,50,37,21,22,18,23,35,53,41,54,57,78,73,41,27,24,22,22,36,36,44,43,40,58,61,33,34,18,23,17,25,35,39
"경기도",이천,33,61,53,77,67,73,46,57,34,24,24,21,35,46,47,47,46,49,46,37,42,21,23,23,39,46,47,42,49,68,47,62,36,21,23,17,32,50,40,48,42,49,49,39,25,23,20,24,31,50,44,51,52,73,67,41,33,26,23,24,34,36,40,39,32,52,57,34,35,21,24,20,26,32,36
"경기도",파주,37,63,50,76,60,71,45,61,31,30,30,30,45,53,50,48,43,50,49,37,37,23,23,22,40,47,48,45,54,74,45,63,34,26,24,16,32,52,44,49,45,44,48,36,22,25,20,24,30,43,42,53,49,67*,65*,38*,26*,24*,20*,23,31,31,39*,38*,35,52,50,30,30,19,24,17,26,32,38
"경기도",포천,30,55,55,85,68,70,40,47,26,27,27,23,35,52,56,56,51,50,49,35,38,21,24,20,37,47,55,44,47,54,35,45,25,19,18,11,24,45,40,48,42,38,38,29,18,19,17,16,20,37,41,48,48,61,51,31,21,26,18,16,24,28,35,35,27,41,41,23,25,17,20,13,16,26,33
"경기도",여주,34,58,54,78,67,71,43,57,35,20,19,23,34,49,49,47,45,49,47,37,42,19,21,22,39,46,54,46,52,68,51,64,39,27*,27,22,37,55,42,50,44,50,50,40,28,26,22,25,32,50,44,50,52,75,68,44,36,29,25,28,36,37,42,40,34,55,58,37,42,25,25,21,26,34,38
"경기도",연천,19,41,38,55,46,57,36,43,24,23,21,18,29,39,40,36,30,40,43,29,31,17,20,17,27,35,36,34,47,58,40,47,27,24,22,16,22,38,34,27**,,,,,,19,16*,18,21,38,37,45,45,65,58,32,22,22,16,17,26,30,34,35,29,43,43,24,26,17,21,15,22,29,33
"경기도",가평,20,35,34,58,45,50,28,32,20,19,20,16,26,35,38,36,35,38,40,29,35,18,19,15,30,38,42,38,46,54,39,50,27,20,20,16*,26**,43**,36,44,40,39,39,30,20,20,18,16,20,35,40,45,45,61,55,35,25,25,20,22,26,32,37,36,28,49,47,26,28,20,22,16,19,28,32
"경기도",양평,27,46,43,70,60,66,38,49,30,26,28,20,29,40,42,41,41,44,45,33,39,20,22,20,36,45,50,44,50,62,48,61,32,22,21,17**,30**,46,38,45,42,43,42,31,21,19,17,16,21,37,39,46,48,68,60,38,27,24,19,20,30,35,39,38,30,50,52,29,31,19,20,15,18,26,35
"경기도",도평균,35,62,50,72,61,72,45,56,32,30,29,26,37,47,47,47,44,49,47,38,41,23,24,22,38,45,46,42,52,72,46,64,37,26,25,17,31,48,41,46,42,46,47,35,23,25,20,24,29,44,39,50,50,73,68,41,30,27,23,23,32,33,38,38,34,52,53,31,32,21,25,18,25,30,35
"강원특별자치도",양구,,,,60*,47,57,40,45,27,23,25,19,25,35,37,33,34,33,36,24,31,14,15,14,25,24**,33**,34,40,49,37,44,20,16,17,12,17,33,30,36,34,26**,32,23,15,13,13,12,12,24,29,31,31,44,43,27,17,17,11,13,16,18,23,22,16,30,33,17,20,14,13,10,12,16,21
"강원특별자치도",고성,,,28,45,41,49,35,43,25,22,24,23,27,28,27,23,28,32,34,27,33,14,16,19,28,22**,25,28,32,49,36,38,17,14,17,12,14,26,23,26,27,31,34,26,17,13,12,15,13,23,22,24,27,44,61,29**,,,,,,19*,24,23,22,36,56,25,23,16,15,16,16,20,19
