"구분(1)",구분(2),2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12
"강원특별자치도",강릉,13,17,14**,19,16,23,25,32,16,21,16,14,12,10,13*,,17,14,19,16,15,12,18,8,11,11,14,19*,,12**,17,16,13,14,10,9,6,5,8,14,11,15,16,19*,15,14,9,7,11,10,14,19,17,14,18,19,20,14,9,12,8,8,11,12,14,15,14,17,19,11,14,9,9,7,9,12,13
"강원특별자치도",원주,13,14,17*,32,31,44,42,45,21,26,23,17,17,12,16,23,31,30,28,24,21,16*,21*,10,13,9,16,22,29,22,26,24,17,18,17,13,14,7*,14*,25,22,31,25,21,18,17,13,13,10,8,7,24*,25*,28,32,30,20,17,15,13,12,11,15,20,23,27,20,24,24,16,20,15,17,10,12,16,20
"강원특별자치도",동해,11,14,13,19,16,23,26,32,18,22,18,18,14,11,11,15*,17,15,20,18,17,14,17,10,19*,15*,16,17,17,15,20,19,17,17,20,15,14,8**,,19**,14,18,18,30,19,14,10,11,9,6,5,14,12,15,19,20,22,17,12,12,8,7,10,13,14,14,12,16,19,7,12,10,9,2,5,10,10
"강원특별자치도",삼척,9,11,12,19,14,22,25,32,17,19,17,17,13,10,11,10,14,14,17,14,14,12,15,9,13,10,12,13,12,9,15,14,12,12,13,9,8,6,7,14,12,16,17,21,17,14,12,8,7,9,13,13,9,12,16,18,20,14,12,12,8,7,10,10,12,13,14,17,21,10,12,6,5,3*,6,11,12
"강원특별자치도",평창,20,9*,17,27,25,40,36,43,20,25,19,16,17,11,13,20,29,25,27,21,20,15,19,9,11,10,11,23,8**,16,18,16,10,14,12,11,10,6,9,19,18,23,21,17,15,14,9,4,7,6,7,22,26,22,22,19,12,7,3,9,9,8,13,15,18,20,15,21,18,13,13,8,9,6,8,12,17
"강원특별자치도",양양,,,,,,19,20,27,14,19,14,12,12,8,11,13,15,16,19,16,15,11,14,7,9,8,11,14,17,12,18,16,12,10,10,8,8**,4**,7,13,13,18,18,16,15,13,9,7,7,6,5,13,11,14,20,18,16,,5*,8,5,6,9,8,11,12,12,14,14,8,11,7,6,4,6,8,9
"강원특별자치도",속초,,,,,,23*,28,34,17,21,16,15,13,7,8,9,14,9,17,17,15,11,16,9,9,8,11,13,2**,10,18,18,16,16,19**,12**,10,5,6,11,9,13,13,14,13,10,8,9,8,8,12,10,7,14,21,21,22,,15*,,,,,,13*,17,17,19,26,17,23,15,11,9,12,12,8
"강원특별자치도",영월,,,,,,45,42,48,20,24,17,12,15,10,16,26,32*,32,32,25,23,18,20,7,9,12,22*,26,23,15,18,17,11,16,12,5,9,6,11,21,20,26,23,20,17,16,11,5,6,10,7,20,24,24,25,24,19,14,9,6,9,5,13,16,21,22,15,20,14,7,11,8,12,6,8,12,17
"강원특별자치도",철원,,,,,,39,33,42,17,22,13,10,8,8,14,23,32,29,28,26,21,19,20,12,13,11,16,25*,25**,17,23,26,16,18,16,10,9,5,11,22,20,23,21,18,18,16,11,10,12,7,9,18,17,20,26,25,19,16,16,15,10,10,14,17,18*,23,18,20,20,14,18,14,13,9,11,14,15
"강원특별자치도",홍천,,,,,,,38,43,17,21,15,11,14,9,16,26,36,34,32,28,23,17,21,8,10,8,15,23,33,25,24,20,15,18,15,10,10,6,10,23,23,33,28,21,18,16,12,10,10,8,9,20,26,30,31,28,18,16,14,13,9,9,13,19,24,27,18,20,21,14,19,11,11*,7,9,14,18
