시도,지역구분,보조금/승용(만원) (국비+지방비),보조금/초소형(만원) (국비+지방비),보조금/화물(만원) (국비+지방비),보조금/승합(만원) (국비+지방비)
경기,파주시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형9,600  대형16,700"
경기,이천시,1320.0,650.0,"초소형768  경형1,650  소형2,700",
경기,안성시,1320.0,650.0,"소형2,700",
경기,김포시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형9,600  대형16,700"
경기,화성시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700"
경기,광주시,1320.0,650.0,"초소형768  경형1,650  소형2,700",
경기,양주시,1320.0,650.0,"초소형768  경형1,650  소형2,700","대형16,700"
경기,포천시,1320.0,650.0,"초소형768  경형1,650  소형2,700",
경기,여주시,1320.0,650.0,"초소형768  경형1,650  소형2,700",
경기,연천군,1320.0,650.0,"초소형512  경형1,100  소형2,700",
경기,가평군,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700"
경기,양평군,1320.0,650.0,"초소형768  경형1,650  소형2,700",
강원,춘천시,1560.0,770.0,"초소형1,072  경형1,800  소형2,700","중형6,000  대형17,791"
강원,원주시,1420.0,700.0,"초소형1,072  경형1,100  소형2,700",
강원,강릉시,1420.0,700.0,"초소형1,072  경형1,100  소형2,700","대형17,632"
강원,동해시,1420.0,700.0,"소형2,700",
강원,태백시,1420.0,,"초소형842  소형2,700",
강원,속초시,1420.0,700.0,"초소형1,072  소형2,700","중형10,800  대형24,700"
강원,삼척시,1550.0,,"소형2,830","대형16,700"
강원,홍천군,1420.0,700.0,"초소형912  소형2,700",
강원,횡성군,1420.0,,"초소형1,072  소형2,700","대형16,700"
강원,영월군,1420.0,700.0,"소형2,700",
강원,평창군,1420.0,700.0,"초소형1,072  소형2,700","중형6,000  대형24,700"
강원,정선군,1420.0,,"소형2,700",
강원,철원군,1420.0,700.0,"소형2,700",
강원,화천군,1420.0,700.0,"초소형912  소형2,700",
강원,양구군,1420.0,700.0,"소형2,700",
강원,인제군,1620.0,,"소형2,700",
강원,고성군,1420.0,700.0,"초소형1,072  경형1,800  소형2,700",
강원,양양군,1420.0,700.0,,
충북,청주시,1620.0,900.0,"소형2,700","대형16,700"
충북,충주시,1620.0,,"초소형512  경형1,100  소형2,700",
충북,제천시,1620.0,900.0,"초소형1,412  경형2,000  소형2,700",
충북,보은군,1620.0,900.0,"초소형1,412  경형2,000  소형2,700","중형6,000  대형16,700"
충북,옥천군,1620.0,900.0,"소형2,700",
충북,영동군,1620.0,900.0,"소형2,700",
충북,증평군,1620.0,,"소형2,700",
충북,진천군,1620.0,900.0,"소형2,700",
